Distance_(pixels),Gray_Value
0,6.333
1,6.333
2,5.000
3,5.000
4,4.038
5,4.047
6,4.057
7,4.133
8,4.152
9,4.171
10,5.000
11,5.896
12,5.886
13,5.877
14,6.578
15,7.572
16,7.566
17,8.559
18,6.553
19,6.547
20,6.540
21,6.733
22,6.875
23,7.667
24,7.894
25,7.904
26,9.164
27,9.171
28,9.177
29,9.908
30,9.905
31,9.902
32,9.899
33,10.209
34,9.441
35,9.889
36,10.228
37,10.883
38,10.240
39,9.667
40,8.667
41,8.667
42,8.667
43,8.074
44,8.667
45,8.667
46,8.564
47,8.554
48,8.000
49,7.000
50,7.667
51,7.667
52,6.667
53,6.667
54,6.667
55,6.667
56,6.667
57,6.667
58,6.667
59,6.667
60,6.667
61,6.667
62,6.667
63,6.667
64,6.667
65,6.667
66,6.041
67,6.667
68,7.022
69,7.012
70,7.339
71,7.320
72,7.301
73,7.590
74,7.457
75,7.111
76,6.784
77,6.836
78,6.535
79,6.503
80,6.713
81,7.440
82,6.038
83,5.994
84,5.950
85,5.905
86,5.046
87,4.817
88,4.773
89,4.572
90,4.538
91,4.503
92,4.468
93,4.433
94,4.398
95,4.364
96,4.329
97,4.907
98,5.832
99,5.830
100,6.753
101,6.737
102,6.721
103,6.706
104,5.717
105,5.683
106,7.651
107,6.633
108,7.594
109,9.600
110,10.581
111,10.562
112,10.605
113,12.524
114,9.667
115,8.576
116,8.767
117,10.448
118,11.723
119,10.538
120,9.816
121,9.519
122,9.105
123,9.667
124,9.941
125,9.667
126,10.130
127,10.667
128,10.356
129,10.372
130,11.566
131,11.575
132,11.834
133,11.856
134,12.847
135,12.613
136,13.570
137,13.632
138,15.564
139,14.333
140,12.885
141,11.670
142,11.551
143,11.333
144,12.545
145,12.958
146,11.871
147,11.909
148,11.947
149,11.985
150,11.215
151,10.818
152,11.285
153,11.319
154,9.973
155,9.980
156,10.507
157,10.504
158,10.002
159,9.990
160,10.150
161,9.965
162,10.203
163,9.879
164,9.667
165,9.204
166,9.655
167,9.638
168,9.171
169,8.321
170,9.089
171,9.055
172,8.389
173,8.345
174,7.517
175,7.476
176,7.435
177,7.394
178,7.145
179,7.110
180,7.133
181,7.369
182,7.221
183,7.432
184,7.624
185,7.551
186,7.988
187,7.921
188,8.072
189,7.996
190,8.455
191,7.656
192,6.718
193,5.956
194,6.481
195,5.453
196,5.997
197,5.685
198,6.368
199,7.339
200,8.207
201,9.188
202,10.338
203,10.250
204,11.421
205,11.798
206,12.140
207,12.112
208,12.092
209,11.703
210,11.687
211,12.001
212,13.020
213,13.039
214,13.706
215,13.641
216,12.635
217,13.237
218,14.799
219,15.129
220,16.133
221,19.316
222,19.317
223,18.695
224,19.419
225,21.111
226,20.904
227,21.724
228,22.740
229,22.533
230,22.762
231,22.715
232,23.667
233,23.829
234,24.249
235,23.297
236,23.494
237,23.183
238,22.869
239,24.271
240,26.358
241,27.959
242,27.854
243,27.206
244,27.276
245,26.466
246,26.343
247,25.334
248,25.628
249,25.492
250,23.332
251,22.740
252,22.382
253,22.478
254,23.357
255,22.567
256,22.825
257,21.466
258,19.649
259,20.686
260,22.076
261,22.801
262,23.266
263,22.218
264,21.133
265,19.684
266,17.315
267,18.122
268,18.906
269,19.396
270,19.346
271,19.434
272,19.596
273,19.960
274,20.349
275,20.663
276,20.957
277,21.232
278,21.489
279,21.726
280,21.945
281,21.809
282,22.449
283,22.415
284,22.837
285,24.797
286,28.276
287,31.737
288,33.627
289,34.440
290,34.254
291,32.777
292,31.318
293,30.100
294,29.882
295,29.664
296,31.252
297,31.228
298,29.285
299,36.410
300,45.716
301,51.133
302,49.152
303,44.279
304,43.251
305,44.204
306,40.401
307,41.113
308,42.685
309,42.454
310,42.302
311,43.150
312,45.957
313,47.815
314,49.559
315,49.478
316,49.373
317,49.156
318,47.884
319,47.589
320,47.305
321,46.035
322,41.949
323,39.828
324,38.673
325,39.373
326,40.115
327,40.850
328,38.057
329,36.100
330,34.966
331,36.515
332,36.323
333,35.673
334,32.994
335,31.901
336,33.381
337,34.692
338,31.191
339,31.188
340,30.273
341,29.377
342,28.500
343,28.389
344,28.104
345,27.987
346,28.203
347,29.129
348,32.537
349,34.664
350,35.717
351,35.759
352,35.372
353,34.894
354,35.363
355,36.475
356,36.447
357,36.759
358,37.099
359,38.521
360,40.844
361,42.988
362,48.484
363,49.167
364,50.229
365,50.629
366,51.866
367,53.121
368,54.885
369,55.689
370,57.771
371,57.708
372,56.380
373,56.295
374,55.916
375,57.031
376,58.984
377,60.513
378,65.173
379,67.542
380,69.798
381,68.488
382,65.719
383,63.314
384,63.929
385,65.947
386,64.850
387,64.034
388,64.439
389,64.158
390,64.990
391,64.092
392,63.786
393,62.565
394,66.401
395,66.309
396,64.859
397,62.101
398,61.261
399,63.183
400,63.393
401,62.709
402,64.627
403,65.607
404,66.272
405,68.134
406,69.116
407,69.291
408,67.869
409,66.423
410,64.337
411,65.206
412,66.000
413,65.000
414,64.074
415,63.065
416,64.000
417,65.272
418,64.964
419,66.306
420,65.661
421,65.995
422,68.985
423,76.187
424,80.360
425,80.188
426,82.603
427,82.298
428,81.033
429,81.078
430,78.272
431,76.192
432,72.549
433,70.551
434,70.413
435,77.465
436,83.287
437,83.881
438,86.996
439,96.711
440,93.033
441,78.338
442,76.193
443,80.656
444,85.953
445,86.723
446,85.196
447,83.961
448,85.059
449,86.549
450,89.148
451,89.628
452,90.423
453,91.062
454,90.593
455,87.636
456,84.129
457,82.111
458,80.163
459,80.999
460,80.601
461,78.862
462,75.387
463,72.204
464,71.875
465,71.952
466,72.471
467,71.679
468,71.246
469,68.657
470,65.969
471,62.238
472,60.204
473,58.471
474,59.740
475,57.949
476,56.370
477,55.452
478,56.719
479,57.817
480,59.807
481,59.553
482,59.820
483,57.974
484,58.285
485,59.010
486,61.800
487,64.166
488,66.739
489,67.818
490,67.082
491,67.022
492,66.671
493,67.968
494,70.491
495,71.865
496,72.818
497,72.625
498,72.964
499,75.163
500,78.110
501,79.749
502,81.080
503,82.128
504,83.403
505,84.058
506,90.667
507,90.859
508,91.033
509,90.667
510,90.338
511,89.536
512,89.710
513,90.000
514,86.252
515,86.117
516,85.000
517,84.000
518,86.000
519,88.000
520,86.069
521,81.453
522,85.283
523,85.612
524,84.573
525,83.268
526,82.992
527,81.675
528,78.590
529,73.157
530,69.129
531,68.340
532,66.785
533,66.803
534,68.355
535,68.371
536,66.963
537,65.495
538,58.687
539,59.077
540,59.315
541,60.503
542,63.678
543,68.556
544,71.115
545,71.197
546,71.392
547,70.621
548,68.939
549,70.749
550,75.768
551,83.372
552,86.935
553,87.239
554,81.730
555,86.678
556,90.559
557,96.579
558,95.938
559,101.629
560,115.533
561,111.370
562,111.509
563,111.811
564,110.550
565,108.309
566,110.333
567,113.212
568,114.362
569,114.016
570,113.960
571,114.881
572,114.802
573,113.156
574,114.272
575,116.652
576,119.204
