Distance_(pixels),Gray_Value
0,8.000
1,7.676
2,7.352
3,7.028
4,6.113
5,5.142
6,4.447
7,4.333
8,4.363
9,4.541
10,5.265
11,6.251
12,7.108
13,7.726
14,8.645
15,9.463
16,10.430
17,11.517
18,12.574
19,13.243
20,13.532
21,13.667
22,13.582
23,13.320
24,13.115
25,13.036
26,12.881
27,12.610
28,12.172
29,11.475
30,10.111
31,8.696
32,6.998
33,5.343
34,4.305
35,3.584
36,3.506
37,4.062
38,4.631
39,5.143
40,5.462
41,6.564
42,7.511
43,8.630
44,9.441
45,9.908
46,10.232
47,10.284
48,9.913
49,9.340
50,8.879
51,8.292
52,7.956
53,7.752
54,7.467
55,7.173
56,6.576
57,5.777
58,4.834
59,4.005
60,3.134
61,2.610
62,2.536
63,2.554
64,2.417
65,2.755
66,3.322
67,4.532
68,5.725
69,6.625
70,7.510
71,7.993
72,8.320
73,8.204
74,8.174
75,7.722
76,7.949
77,8.264
78,8.860
79,9.098
80,9.050
81,9.008
82,8.324
83,7.473
84,6.688
85,5.738
86,5.333
87,5.690
88,6.349
89,7.482
90,8.688
91,10.005
92,11.506
93,12.795
94,13.632
95,14.653
96,15.475
97,16.180
98,16.421
99,16.847
100,17.045
101,17.456
102,17.753
103,18.568
104,19.400
105,20.520
106,21.005
107,20.856
108,19.795
109,18.111
110,16.253
111,14.173
112,11.813
113,10.352
114,9.790
115,9.849
116,10.253
117,11.070
118,11.852
119,12.588
120,13.668
121,14.844
122,15.931
123,16.862
124,17.925
125,18.768
126,19.160
127,19.517
128,19.630
129,19.719
130,19.874
131,20.363
132,20.820
133,20.364
134,19.748
135,18.492
136,16.617
137,14.194
138,11.610
139,9.315
140,7.628
141,6.256
142,5.530
143,5.119
144,4.738
145,4.908
146,5.154
147,5.955
148,6.882
149,7.944
150,8.660
151,9.527
152,9.959
153,10.414
154,10.476
155,10.424
156,10.900
157,11.334
158,11.642
159,11.833
160,11.745
161,11.227
162,10.404
163,9.357
164,7.983
165,6.717
166,5.852
167,5.433
168,5.403
169,5.949
170,6.868
171,7.913
172,8.953
173,9.929
174,10.759
175,11.809
176,12.705
177,13.937
178,14.980
179,16.118
180,17.256
181,19.163
182,21.337
183,23.757
184,26.191
185,28.269
186,29.495
187,29.604
188,28.630
189,26.453
190,23.572
191,20.371
192,17.270
193,15.057
194,13.690
195,13.035
196,13.472
197,14.610
198,15.878
199,17.221
200,18.359
201,19.497
202,20.728
203,22.108
204,23.301
205,24.718
206,25.827
207,26.806
208,28.534
209,30.349
210,32.459
211,34.560
212,36.333
213,36.785
214,35.952
215,34.162
216,31.166
217,27.614
218,23.535
219,19.515
220,16.372
221,14.144
222,12.825
223,12.361
224,12.146
225,12.615
226,13.229
227,13.720
228,14.390
229,15.197
230,16.213
231,17.146
232,17.856
233,18.297
234,18.867
235,19.323
236,19.672
237,20.430
238,21.450
239,21.790
240,21.567
241,20.972
242,19.741
243,17.707
244,15.140
245,12.753
246,10.986
247,9.533
248,9.052
249,8.571
250,9.005
251,9.443
252,10.325
253,11.672
254,13.147
255,14.509
256,15.734
257,16.828
258,17.862
259,19.054
260,20.281
261,21.909
262,24.324
263,27.185
264,30.326
265,33.215
266,35.200
267,36.072
268,35.767
269,34.117
270,31.463
271,28.127
272,24.553
273,21.284
274,18.938
275,17.534
276,17.143
277,17.841
278,18.964
279,21.000
280,22.896
281,24.928
282,26.792
283,28.588
284,30.066
285,31.531
286,33.309
287,35.105
288,37.180
289,40.136
290,43.572
291,47.100
292,50.085
293,52.450
294,53.513
295,52.948
296,50.545
297,46.702
298,41.648
299,35.969
300,30.695
301,26.223
302,22.852
303,20.708
304,19.364
305,19.169
306,19.760
307,20.361
308,21.225
309,22.182
310,23.381
311,24.830
312,25.722
313,27.027
314,28.435
315,29.386
316,31.112
317,33.468
318,35.333
319,37.142
320,37.873
321,37.396
322,36.216
323,33.307
324,30.174
325,26.281
326,22.200
327,18.967
328,16.280
329,14.178
330,12.892
331,12.342
332,12.181
333,12.168
334,12.245
335,12.571
336,13.175
337,13.934
338,15.100
339,16.564
340,17.733
341,19.407
342,21.764
343,24.308
344,27.272
345,30.537
346,33.149
347,35.204
348,36.048
349,35.756
350,34.218
351,31.702
352,29.041
353,26.382
354,23.988
355,22.543
356,21.816
357,22.356
358,23.316
359,24.978
360,26.864
361,28.928
362,30.874
363,33.234
364,35.487
365,37.959
366,40.721
367,43.586
368,46.862
369,50.800
370,55.520
371,60.840
372,66.220
373,71.214
374,75.146
375,77.255
376,76.939
377,74.375
378,69.849
379,63.654
380,57.022
381,50.317
382,44.941
383,40.529
384,37.587
385,36.284
386,36.474
387,37.012
388,38.161
389,39.419
390,40.491
391,41.561
392,43.036
393,44.809
394,46.560
395,49.475
396,53.085
397,57.459
398,62.504
399,67.778
400,72.289
401,75.493
402,76.735
403,75.895
404,72.611
405,67.550
406,60.881
407,53.236
408,45.480
409,38.447
410,32.626
411,28.051
412,24.789
413,22.582
414,21.504
415,20.992
416,20.589
417,20.187
418,19.759
419,19.250
420,18.634
421,18.244
422,17.842
423,17.436
424,16.740
425,16.254
426,15.965
427,15.604
428,15.100
429,14.406
430,13.771
431,12.736
432,11.646
433,11.084
434,10.740
435,10.778
436,11.183
437,11.949
438,13.088
439,14.866
440,17.421
441,20.537
442,24.130
443,28.008
444,32.094
445,36.240
446,40.198
447,44.515
448,49.201
449,54.111
450,59.371
451,65.929
452,72.654
453,80.056
454,87.013
455,93.333
456,97.682
457,99.515
458,98.821
459,94.697
460,88.831
461,81.276
462,73.201
463,65.789
464,59.678
465,55.526
466,53.045
467,52.239
468,52.923
469,54.821
470,57.897
471,61.309
472,64.882
473,68.963
474,73.355
475,78.331
476,84.228
477,91.129
478,99.429
479,109.047
480,119.108
481,129.102
482,137.974
483,144.528
484,147.836
485,146.838
486,141.875
487,133.379
488,122.470
489,110.016
490,97.129
491,85.547
492,75.844
493,67.990
494,62.933
495,60.568
496,59.379
497,59.633
498,60.370
499,61.701
500,63.268
501,64.564
502,66.492
503,68.860
