Distance_(pixels),Gray_Value
0,0.0000
1,0.0000
2,0.0090
3,0.0090
4,0.0090
5,0.0090
6,0.0090
7,0.0090
8,0.0090
9,0.0090
10,0.0179
11,0.0157
12,0.0157
13,0.0112
14,0.0090
15,0.0090
16,0.0090
17,0.0090
18,0.0000
19,0.0000
20,0.0000
21,0.0000
22,0.0179
23,0.0179
24,0.0359
25,0.0359
26,0.0987
27,0.1054
28,0.1121
29,0.1211
30,0.1300
31,0.1345
32,0.1413
33,0.1480
34,0.2093
35,0.2115
36,0.1898
37,0.1921
38,0.2145
39,0.2466
40,0.2668
41,0.2691
42,0.3565
43,0.3595
44,0.3797
45,0.3916
46,0.4185
47,0.4230
48,0.4275
49,0.4320
50,0.4574
51,0.4574
52,0.4574
53,0.4619
54,0.4738
55,0.4738
56,0.4738
57,0.4761
58,0.4589
59,0.4387
60,0.4372
61,0.4492
62,0.4798
63,0.4185
64,0.3886
65,0.3692
66,0.3214
67,0.3199
68,0.3161
69,0.3117
70,0.2735
71,0.2556
72,0.2317
73,0.2317
74,0.1121
75,0.1099
76,0.1076
77,0.1076
78,0.1054
79,0.1009
80,0.1009
81,0.0987
82,0.0987
83,0.0987
84,0.0987
85,0.0987
86,0.0987
87,0.0987
88,0.0987
89,0.0987
90,0.1016
91,0.1016
92,0.1136
93,0.1136
94,0.1495
95,0.1495
96,0.1854
97,0.1854
98,0.1973
99,0.1996
100,0.2257
101,0.2399
102,0.3221
103,0.3363
104,0.3505
105,0.3543
106,0.4529
107,0.4529
108,0.5067
109,0.5247
110,0.5426
111,0.5426
112,0.5426
113,0.5426
114,0.5516
115,0.5516
116,0.5561
117,0.5665
118,0.6099
119,0.5994
120,0.5845
121,0.5859
122,0.5725
123,0.5710
124,0.5650
125,0.5508
126,0.5568
127,0.5830
128,0.5994
129,0.6001
130,0.5336
131,0.5359
132,0.5359
133,0.5531
134,0.5478
135,0.5590
136,0.5568
137,0.5598
138,0.5874
139,0.5897
140,0.5919
141,0.6129
142,0.6136
143,0.6375
144,0.6629
145,0.6756
146,0.7294
147,0.7272
148,0.7481
149,0.7496
150,0.8236
151,0.8296
152,0.8378
153,0.8408
154,0.9245
155,0.9223
156,0.9215
157,0.9357
158,0.9088
159,0.9170
160,0.9155
161,0.9305
162,0.9567
163,0.9514
164,0.9589
165,0.9365
166,0.8685
167,0.8685
168,0.8505
169,0.8498
170,0.8251
171,0.8019
172,0.7668
173,0.7481
174,0.6854
175,0.6502
176,0.6271
177,0.6278
178,0.5882
179,0.5650
180,0.5015
181,0.4791
182,0.4432
183,0.4380
184,0.4260
185,0.4290
186,0.3886
187,0.3909
188,0.4305
189,0.4499
190,0.4776
191,0.4963
192,0.5247
193,0.5568
194,0.5419
195,0.5725
196,0.6487
197,0.6966
198,0.7990
199,0.8363
200,0.9365
201,0.9544
202,1.0389
203,1.0845
204,1.1921
205,1.2728
206,1.4372
207,1.4791
208,1.5561
209,1.5732
210,1.7220
211,1.7519
212,1.8012
213,1.8490
214,1.9701
215,2.0277
216,2.0643
217,2.0867
218,2.1293
219,2.1248
220,2.1353
221,2.1353
222,2.0867
223,2.0628
224,2.0164
225,2.0187
226,1.9851
227,1.9395
228,1.8976
229,1.8363
230,1.8057
231,1.7653
232,1.7474
233,1.6726
234,1.5755
235,1.5486
236,1.4933
237,1.4245
238,1.2220
239,1.1450
240,1.0546
241,1.0217
242,0.9028
243,0.8857
244,0.7720
245,0.7324
246,0.6592
247,0.6480
248,0.6562
249,0.6495
250,0.5471
251,0.4985
252,0.4626
253,0.4327
254,0.4798
255,0.4462
256,0.4245
257,0.4215
258,0.4133
259,0.4066
260,0.4081
261,0.3969
262,0.3371
263,0.3393
264,0.3670
265,0.3662
266,0.5015
267,0.5060
268,0.5717
269,0.5927
270,0.6786
271,0.6958
272,0.7309
273,0.7616
274,0.8184
275,0.8214
276,0.8984
277,0.9290
278,1.1256
279,1.2474
280,1.3438
281,1.4238
282,1.6622
283,1.7900
284,2.0015
285,2.1390
286,2.2280
287,2.4036
288,2.7003
289,2.8161
290,3.0815
291,3.1741
292,3.3647
293,3.6682
294,3.9043
295,4.2108
296,4.5067
297,4.6644
298,4.8886
299,5.0770
300,5.4342
301,5.8348
302,6.1472
303,6.4327
304,6.6659
305,6.9238
306,7.4103
307,7.5643
308,7.8199
309,8.0463
310,8.2130
311,8.2481
312,8.3670
313,8.3617
314,8.5800
315,8.5172
316,8.5135
317,8.5688
318,8.6749
319,8.6278
320,8.5889
321,8.4963
322,8.7422
323,8.6300
324,8.4477
325,8.2018
326,8.0090
327,7.7638
328,7.4798
329,7.2205
330,7.1771
331,7.0404
332,6.8984
333,6.6039
334,6.4567
335,6.2915
336,6.1442
337,5.9828
338,5.8707
339,5.7317
340,5.7294
341,5.7040
342,5.7646
343,5.7399
344,5.7489
345,5.7025
346,5.7990
347,5.9753
348,6.0859
349,6.1719
350,6.2534
351,6.4013
352,6.7765
353,6.9925
354,7.0912
355,7.5314
356,7.8849
357,8.0239
358,8.0927
359,8.3558
360,8.7123
361,8.7870
362,9.0067
363,9.3027
364,9.5426
365,9.7780
366,9.9290
367,10.0000
368,10.2623
369,10.4776
370,10.6854
371,10.7743
372,10.9028
373,11.0561
374,11.0090
375,10.6898
376,10.9178
377,10.6562
378,10.3505
379,10.4821
380,10.6943
381,10.7608
382,10.8460
383,10.8393
384,10.8804
385,10.8700
386,10.9238
387,11.0523
388,11.1390
389,11.6091
390,12.0135
391,12.4215
392,12.8886
393,13.4477
394,13.9297
395,14.4918
396,15.1480
397,15.3722
398,15.7952
399,16.3326
400,16.6413
401,17.0994
402,17.7175
403,18.0650
404,18.5052
405,18.9574
406,19.4843
407,20.1009
408,21.0262
409,21.6652
410,22.4671
411,23.3849
412,24.2608
413,24.3886
414,24.9507
415,25.2862
416,25.7287
417,26.7130
418,27.2384
419,27.3886
420,28.1749
421,29.0374
422,29.6285
423,29.9641
424,30.3019
425,30.4425
426,31.3274
427,31.8587
428,32.7347
429,32.7915
430,33.0344
431,33.2728
432,33.6330
433,33.6046
434,33.7541
435,34.0949
436,34.7108
437,34.2982
438,34.8797
439,34.6390
440,35.0949
441,34.7713
442,34.5942
443,34.5904
444,34.6749
445,34.0478
446,33.8812
447,34.3587
448,33.7638
449,33.8587
450,33.5105
451,33.8939
452,32.8782
453,32.0830
454,31.9694
455,32.3685
456,31.8094
457,31.5217
458,30.6734
459,30.4320
460,29.9858
461,29.3767
462,28.8468
463,28.1308
464,28.1203
465,27.9567
466,27.5112
467,26.6741
468,26.0800
469,25.6001
470,24.9761
471,24.4492
472,23.9895
473,23.3505
474,22.4626
475,21.4723
476,21.6308
477,21.1854
478,20.4305
479,19.5561
480,19.2862
481,18.5508
482,17.7997
483,17.5456
484,16.9357
485,16.4395
486,16.3408
487,15.8879
488,15.1502
489,14.3617
490,14.0830
491,13.8647
492,13.3655
493,13.0635
494,12.8184
495,12.7862
496,12.8722
497,12.7444
498,12.6547
499,12.5904
500,12.7833
501,13.0284
502,13.0426
503,12.9761
504,13.1196
505,13.2556
506,13.4141
507,13.2018
508,13.3729
509,13.6457
510,13.6622
511,13.5433
512,13.5949
513,13.5650
514,13.6241
515,13.5135
516,13.4126
517,13.0538
518,12.7220
519,12.5135
520,12.2339
521,12.1435
522,11.9365
523,11.6315
524,11.4208
525,11.1495
526,10.8341
527,10.4484
528,10.2795
529,10.0732
530,9.6143
531,9.3513
532,9.1734
533,8.7250
534,8.5262
535,8.3520
536,7.9865
537,7.6345
538,7.4447
539,7.2407
540,7.0149
541,6.7175
542,6.6241
543,6.4738
544,6.4028
545,6.2250
546,6.1487
547,6.1981
548,6.2123
549,6.2010
550,6.2848
551,6.4828
552,6.6368
553,6.6614
554,6.9118
555,7.0344
556,7.2631
557,7.4380
558,7.5478
559,7.7549
560,7.8984
561,8.1069
562,8.1973
563,8.3288
564,8.4851
565,8.6173
566,8.6487
567,8.6390
568,8.6951
569,8.6592
570,8.6928
571,8.7377
572,8.7892
573,8.6936
574,8.5904
575,8.3857
576,8.2220
577,8.0972
578,7.8288
579,7.6599
580,7.3901
581,7.2115
582,7.0859
583,6.8819
584,6.5904
585,6.3677
586,6.1719
587,5.9626
588,5.7564
589,5.4873
590,5.2182
591,4.8408
592,4.5284
593,4.2392
594,4.2197
595,3.8744
596,3.6016
597,3.3348
598,3.1831
599,2.9529
600,2.8124
601,2.6442
602,2.5374
603,2.3490
604,2.2399
605,2.1016
606,2.0277
607,1.8513
608,1.7922
609,1.7018
610,1.6158
611,1.5658
612,1.5262
613,1.5045
614,1.5239
615,1.4723
616,1.5344
617,1.4798
618,1.4596
619,1.4297
620,1.4290
621,1.4141
622,1.3752
623,1.3707
624,1.3729
625,1.3752
626,1.4028
627,1.4013
628,1.3849
629,1.3528
630,1.3460
631,1.3408
632,1.2990
633,1.2646
634,1.2100
635,1.1846
636,1.1726
637,1.1674
638,1.1966
639,1.1936
640,1.1988
641,1.2205
642,1.1286
643,1.1151
644,1.1076
645,1.2003
646,1.2504
647,1.2369
648,1.2683
649,1.2706
650,1.2975
651,1.2937
652,1.3408
