Distance_(pixels),Gray_Value
0,0.381
1,0.381
2,0.571
3,0.571
4,0.571
5,0.571
6,0.571
7,0.571
8,0.571
9,0.571
10,0.381
11,0.381
12,0.381
13,0.381
14,0.381
15,0.381
16,0.381
17,0.381
18,0.381
19,0.381
20,0.381
21,0.381
22,0.381
23,0.381
24,0.381
25,0.381
26,0.571
27,0.571
28,0.571
29,0.571
30,0.571
31,0.571
32,0.571
33,0.571
34,0.762
35,0.762
36,0.762
37,0.762
38,0.762
39,0.762
40,0.762
41,0.762
42,0.571
43,0.571
44,0.571
45,0.571
46,0.571
47,0.571
48,0.571
49,0.571
50,0.190
51,0.190
52,0.190
53,0.190
54,0.000
55,0.000
56,0.000
57,0.000
58,0.000
59,0.000
60,0.000
61,0.000
62,0.000
63,0.000
64,0.000
65,0.000
66,0.000
67,0.000
68,0.000
69,0.000
70,0.000
71,0.000
72,0.000
73,0.000
74,0.000
75,0.000
76,0.000
77,0.000
78,0.000
79,0.000
80,0.000
81,0.000
82,0.000
83,0.000
84,0.000
85,0.000
86,0.429
87,0.429
88,0.429
89,0.429
90,0.619
91,0.571
92,0.571
93,0.476
94,0.429
95,0.429
96,0.429
97,0.429
98,0.048
99,0.048
100,0.048
101,0.048
102,0.000
103,0.000
104,0.000
105,0.000
106,0.000
107,0.000
108,0.000
109,0.000
110,0.000
111,0.190
112,0.190
113,0.381
114,0.333
115,0.476
116,0.889
117,1.127
118,1.556
119,1.619
120,1.714
121,1.889
122,2.683
123,2.841
124,3.270
125,3.270
126,3.587
127,3.587
128,4.079
129,4.111
130,4.794
131,4.825
132,5.175
133,5.746
134,6.286
135,6.571
136,6.905
137,6.952
138,7.111
139,7.206
140,7.095
141,6.921
142,6.873
143,6.825
144,6.905
145,7.016
146,7.111
147,7.063
148,7.016
149,6.873
150,6.873
151,6.873
152,7.016
153,6.587
154,6.063
155,4.952
156,4.587
157,4.651
158,4.016
159,3.746
160,3.460
161,3.365
162,2.571
163,2.571
164,2.524
165,2.381
166,2.238
167,1.603
168,1.143
169,1.063
170,0.000
171,0.000
172,0.000
173,0.000
174,0.000
175,0.000
176,0.000
177,0.000
178,0.000
179,0.000
180,0.000
181,0.000
182,0.000
183,0.000
184,0.000
185,0.000
186,0.000
187,0.000
188,0.000
189,0.000
190,0.000
191,0.000
192,0.000
193,0.000
194,0.000
195,0.000
196,0.000
197,0.000
198,0.000
199,0.000
200,0.000
201,0.000
202,0.492
203,0.492
204,0.000
205,0.571
206,0.714
207,0.810
208,1.270
209,1.540
210,2.190
211,2.651
212,3.349
213,3.873
214,4.556
215,5.778
216,7.476
217,8.651
218,8.698
219,8.778
220,9.190
221,9.952
222,11.270
223,13.302
224,14.841
225,16.397
226,16.175
227,16.762
228,18.063
229,19.556
230,20.270
231,19.778
232,19.762
233,20.222
234,20.556
235,21.921
236,22.810
237,22.714
238,22.381
239,22.286
240,22.302
241,21.984
242,24.667
243,23.714
244,22.746
245,22.413
246,22.222
247,21.984
248,21.143
249,19.968
250,19.016
251,17.556
252,16.587
253,16.349
254,15.857
255,14.349
256,13.603
257,13.556
258,13.048
259,12.111
260,13.000
261,13.460
262,11.730
263,11.222
264,11.810
265,11.905
266,13.651
267,14.302
268,15.444
269,16.206
270,16.222
271,16.698
272,18.381
273,20.349
274,21.381
275,21.635
276,23.254
277,25.603
278,26.540
279,26.317
280,26.952
281,28.190
282,30.794
283,29.381
284,30.714
285,31.635
286,30.476
287,31.762
288,33.159
289,32.159
290,32.238
291,33.841
292,31.397
293,31.238
294,31.000
295,32.857
296,29.968
297,28.349
298,28.302
299,28.651
300,26.333
301,24.587
302,23.825
303,21.571
304,20.571
305,20.206
306,19.254
307,18.698
308,19.175
309,20.286
310,21.079
311,22.873
312,25.794
313,29.095
