Programme...:	MICH
Date........:	   202024-02-
Heure.......:	     6 15:18:
Colonnes....:	            3
Lignes......:	          486
Décalage....:	           17
Commentaires:	

P.abs.i.(mp):	 1.5493500E+5	P.cal.i.(µm):	 2.9626719E+1	V_min___(mV):	-1.0014655E+5	
P.abs.f.(mp):	 1.5542000E+5	P.cal.f.(µm):	 3.4438828E+1	V_max___(mV):	-1.2164142E+6	
Nbre_de_pts_:	 4.8600000E+2	Délai___(ms):	 5.0000000E+1	Calibration_:	 1.0000000E+1	
Source......:	laser HeNe	
Filtre......:		
Détecteur...:	Si-Pin	
Éch._du_pico:	2 micro amp	
Temps___(ms):	Pos.cal.(µm):	Tension_(mV):	
 7.7762360E+6	 2.9626719E+1	-2.5158769E+2	
 7.7762860E+6	 2.9636641E+1	-2.0517831E+2	
 7.7763360E+6	 2.9646562E+1	-2.8334147E+2	
 7.7763860E+6	 2.9656484E+1	-2.1983391E+2	
 7.7764360E+6	 2.9666406E+1	-2.9555446E+2	
 7.7764860E+6	 2.9676328E+1	-2.7112848E+2	
 7.7765360E+6	 2.9686250E+1	-3.1265268E+2	
 7.7765860E+6	 2.9696172E+1	-3.0776745E+2	
 7.7766360E+6	 2.9706094E+1	-4.2745480E+2	
 7.7766860E+6	 2.9716016E+1	-4.3722519E+2	
 7.7767360E+6	 2.9725937E+1	-6.7415732E+2	
 7.7767860E+6	 2.9735859E+1	-6.4240354E+2	
 7.7768360E+6	 2.9745781E+1	-8.7200779E+2	
 7.7768860E+6	 2.9755703E+1	-8.4269661E+2	
 7.7769360E+6	 2.9765625E+1	-9.0864682E+2	
 7.7769860E+6	 2.9775547E+1	-1.1993160E+3	
 7.7770360E+6	 2.9785469E+1	-1.2042012E+3	
 7.7770860E+6	 2.9795391E+1	-1.2139716E+3	
 7.7771360E+6	 2.9805312E+1	-1.2139716E+3	
 7.7771860E+6	 2.9815234E+1	-1.2115290E+3	
 7.7772360E+6	 2.9825156E+1	-1.1968734E+3	
 7.7772860E+6	 2.9835078E+1	-1.1553493E+3	
 7.7773360E+6	 2.9845000E+1	-1.1846604E+3	
 7.7773860E+6	 2.9854922E+1	-1.1333659E+3	
 7.7774360E+6	 2.9864844E+1	-1.1773326E+3	
 7.7774860E+6	 2.9874766E+1	-1.1162677E+3	
 7.7775360E+6	 2.9884688E+1	-9.4528580E+2	
 7.7775860E+6	 2.9894609E+1	-8.8422084E+2	
 7.7776360E+6	 2.9904531E+1	-7.4499267E+2	
 7.7776860E+6	 2.9914453E+1	-5.8378112E+2	
 7.7777360E+6	 2.9924375E+1	-5.9843671E+2	
 7.7777860E+6	 2.9934297E+1	-3.0043966E+2	
 7.7778360E+6	 2.9944219E+1	-2.8822666E+2	
 7.7778860E+6	 2.9954141E+1	-1.6365413E+2	
 7.7779360E+6	 2.9964063E+1	-1.1235955E+2	
 7.7779860E+6	 2.9973984E+1	-1.0747435E+2	
 7.7780360E+6	 2.9983906E+1	-1.0014655E+2	
 7.7780860E+6	 2.9993828E+1	-1.0503175E+2	
 7.7781360E+6	 3.0003750E+1	-1.3678554E+2	
 7.7781860E+6	 3.0013672E+1	-1.4167073E+2	
 7.7782360E+6	 3.0023594E+1	-1.5876894E+2	
 7.7782860E+6	 3.0033516E+1	-1.2212995E+2	
 7.7783360E+6	 3.0043437E+1	-1.5632634E+2	
 7.7783860E+6	 3.0053359E+1	-2.1739130E+2	
 7.7784360E+6	 3.0063281E+1	-2.1006350E+2	
 7.7784860E+6	 3.0073203E+1	-2.8578407E+2	
 7.7785360E+6	 3.0083125E+1	-2.7357107E+2	
 7.7785860E+6	 3.0093047E+1	-4.9340498E+2	
 7.7786360E+6	 3.0102969E+1	-3.7860283E+2	
 7.7786860E+6	 3.0112891E+1	-5.0806057E+2	
 7.7787360E+6	 3.0122812E+1	-7.0346850E+2	
 7.7787860E+6	 3.0132734E+1	-8.8177824E+2	
 7.7788360E+6	 3.0142656E+1	-1.0185637E+3	
 7.7788860E+6	 3.0152578E+1	-1.0429897E+3	
 7.7789360E+6	 3.0162500E+1	-1.1529067E+3	
 7.7789860E+6	 3.0172422E+1	-1.1895456E+3	
 7.7790360E+6	 3.0182344E+1	-1.2139716E+3	
 7.7790860E+6	 3.0192266E+1	-1.2042012E+3	
 7.7791360E+6	 3.0202187E+1	-1.1797752E+3	
 7.7791860E+6	 3.0212109E+1	-1.0454323E+3	
 7.7792360E+6	 3.0222031E+1	-9.9658036E+2	
 7.7792860E+6	 3.0231953E+1	-9.3551540E+2	
 7.7793360E+6	 3.0241875E+1	-9.0864682E+2	
 7.7793860E+6	 3.0251797E+1	-8.5979480E+2	
 7.7794360E+6	 3.0261719E+1	-7.7430385E+2	
 7.7794860E+6	 3.0271641E+1	-6.6682953E+2	
 7.7795360E+6	 3.0281562E+1	-5.6179774E+2	
 7.7795860E+6	 3.0291484E+1	-4.0058622E+2	
 7.7796360E+6	 3.0301406E+1	-3.8104543E+2	
 7.7796860E+6	 3.0311328E+1	-2.4181730E+2	
 7.7797360E+6	 3.0321250E+1	-1.2457255E+2	
 7.7797860E+6	 3.0331172E+1	-1.0258915E+2	
 7.7798360E+6	 3.0341094E+1	-1.5144113E+2	
 7.7798860E+6	 3.0351016E+1	-1.4411333E+2	
 7.7799360E+6	 3.0360937E+1	-4.9340498E+2	
 7.7799860E+6	 3.0370859E+1	-6.1064970E+2	
 7.7800360E+6	 3.0380781E+1	-6.4728874E+2	
 7.7800860E+6	 3.0390703E+1	-6.3751835E+2	
 7.7801360E+6	 3.0400625E+1	-7.7674645E+2	
 7.7801860E+6	 3.0410547E+1	-8.7933564E+2	
 7.7802360E+6	 3.0420469E+1	-9.6971178E+2	
 7.7802860E+6	 3.0430391E+1	-9.2574501E+2	
 7.7803360E+6	 3.0440312E+1	-1.0649731E+3	
 7.7803860E+6	 3.0450234E+1	-1.0674157E+3	
 7.7804360E+6	 3.0460156E+1	-1.1504641E+3	
 7.7804860E+6	 3.0470078E+1	-1.1455789E+3	
 7.7805360E+6	 3.0480000E+1	-1.1919882E+3	
 7.7805860E+6	 3.0489922E+1	-1.2139716E+3	
 7.7806360E+6	 3.0499844E+1	-1.2090864E+3	
 7.7806860E+6	 3.0509766E+1	-1.1675622E+3	
 7.7807360E+6	 3.0519687E+1	-1.0478749E+3	
 7.7807860E+6	 3.0529609E+1	-8.8177824E+2	
 7.7808360E+6	 3.0539531E+1	-6.3751835E+2	
 7.7808860E+6	 3.0549453E+1	-5.4469955E+2	
 7.7809360E+6	 3.0559375E+1	-4.3234000E+2	
 7.7809860E+6	 3.0569297E+1	-2.8089887E+2	
 7.7810360E+6	 3.0579219E+1	-2.1494870E+2	
 7.7810860E+6	 3.0589141E+1	-1.5632634E+2	
 7.7811360E+6	 3.0599062E+1	-1.0258915E+2	
 7.7811860E+6	 3.0608984E+1	-1.0258915E+2	
 7.7812360E+6	 3.0618906E+1	-1.0014655E+2	
 7.7812860E+6	 3.0628828E+1	-1.0014655E+2	
 7.7813360E+6	 3.0638750E+1	-1.0258915E+2	
 7.7813860E+6	 3.0648672E+1	-1.4411333E+2	
 7.7814360E+6	 3.0658594E+1	-1.3434294E+2	
 7.7814860E+6	 3.0668516E+1	-1.4899853E+2	
 7.7815360E+6	 3.0678437E+1	-1.4655593E+2	
 7.7815860E+6	 3.0688359E+1	-1.7830972E+2	
 7.7816360E+6	 3.0698281E+1	-2.9555446E+2	
 7.7816860E+6	 3.0708203E+1	-3.6883244E+2	
 7.7817360E+6	 3.0718125E+1	-3.9081582E+2	
 7.7817860E+6	 3.0728047E+1	-6.9614071E+2	
 7.7818360E+6	 3.0737969E+1	-7.6697606E+2	
 7.7818860E+6	 3.0747891E+1	-9.2330241E+2	
 7.7819360E+6	 3.0757812E+1	-9.8925257E+2	
 7.7819860E+6	 3.0767734E+1	-1.1382511E+3	
 7.7820360E+6	 3.0777656E+1	-1.1455789E+3	
 7.7820860E+6	 3.0787578E+1	-1.1968734E+3	
 7.7821360E+6	 3.0797500E+1	-1.1944308E+3	
 7.7821860E+6	 3.0807422E+1	-1.1235955E+3	
 7.7822360E+6	 3.0817344E+1	-1.1235955E+3	
 7.7822860E+6	 3.0827266E+1	-1.1162677E+3	
 7.7823360E+6	 3.0837187E+1	-1.0869565E+3	
 7.7823860E+6	 3.0847109E+1	-6.5461653E+2	
 7.7824360E+6	 3.0857031E+1	-7.9628724E+2	
 7.7824860E+6	 3.0866953E+1	-7.9628724E+2	
 7.7825360E+6	 3.0876875E+1	-3.9325842E+2	
 7.7825860E+6	 3.0886797E+1	-4.8607719E+2	
 7.7826360E+6	 3.0896719E+1	-3.8104543E+2	
 7.7826860E+6	 3.0906641E+1	-2.3204690E+2	
 7.7827360E+6	 3.0916562E+1	-1.6853933E+2	
 7.7827860E+6	 3.0926484E+1	-1.3922814E+2	
 7.7828360E+6	 3.0936406E+1	-1.5876894E+2	
 7.7828860E+6	 3.0946328E+1	-1.4167073E+2	
 7.7829360E+6	 3.0956250E+1	-2.3204690E+2	
 7.7829860E+6	 3.0966172E+1	-2.8089887E+2	
 7.7830360E+6	 3.0976094E+1	-3.6638984E+2	
 7.7830860E+6	 3.0986016E+1	-3.5906205E+2	
 7.7831360E+6	 3.0995937E+1	-7.2056669E+2	
 7.7831860E+6	 3.1005859E+1	-6.5950173E+2	
 7.7832360E+6	 3.1015781E+1	-6.7171472E+2	
 7.7832860E+6	 3.1025703E+1	-7.0835370E+2	
 7.7833360E+6	 3.1035625E+1	-6.2774795E+2	
 7.7833860E+6	 3.1045547E+1	-8.6956519E+2	
 7.7834360E+6	 3.1055469E+1	-8.5246700E+2	
 7.7834860E+6	 3.1065391E+1	-8.4758180E+2	
 7.7835360E+6	 3.1075312E+1	-1.0674157E+3	
 7.7835860E+6	 3.1085234E+1	-1.0625305E+3	
 7.7836360E+6	 3.1095156E+1	-1.0625305E+3	
 7.7836860E+6	 3.1105078E+1	-1.1358085E+3	
 7.7837360E+6	 3.1115000E+1	-1.1993160E+3	
 7.7837860E+6	 3.1124922E+1	-1.2139716E+3	
 7.7838360E+6	 3.1134844E+1	-1.1919882E+3	
 7.7838860E+6	 3.1144766E+1	-1.1651196E+3	
 7.7839360E+6	 3.1154688E+1	-1.0258915E+3	
 7.7839860E+6	 3.1164609E+1	-8.3536881E+2	
 7.7840360E+6	 3.1174531E+1	-6.6194433E+2	
 7.7840860E+6	 3.1184453E+1	-5.3004396E+2	
 7.7841360E+6	 3.1194375E+1	-4.7386420E+2	
 7.7841860E+6	 3.1204297E+1	-3.4929165E+2	
 7.7842360E+6	 3.1214219E+1	-3.1021005E+2	
 7.7842860E+6	 3.1224141E+1	-1.6365413E+2	
 7.7843360E+6	 3.1234063E+1	-1.7342453E+2	
 7.7843860E+6	 3.1243984E+1	-1.4167073E+2	
 7.7844360E+6	 3.1253906E+1	-1.0747435E+2	
 7.7844860E+6	 3.1263828E+1	-1.0258915E+2	
 7.7845360E+6	 3.1273750E+1	-1.0014655E+2	
 7.7845860E+6	 3.1283672E+1	-1.0258915E+2	
 7.7846360E+6	 3.1293594E+1	-1.0747435E+2	
 7.7846860E+6	 3.1303516E+1	-1.6121154E+2	
 7.7847360E+6	 3.1313437E+1	-1.6853933E+2	
 7.7847860E+6	 3.1323359E+1	-2.5158769E+2	
 7.7848360E+6	 3.1333281E+1	-3.3952126E+2	
 7.7848860E+6	 3.1343203E+1	-2.8578407E+2	
 7.7849360E+6	 3.1353125E+1	-4.0547141E+2	
 7.7849860E+6	 3.1363047E+1	-5.3492916E+2	
 7.7850360E+6	 3.1372969E+1	-7.5232047E+2	
 7.7850860E+6	 3.1382891E+1	-7.9628724E+2	
 7.7851360E+6	 3.1392812E+1	-7.7918905E+2	
 7.7851860E+6	 3.1402734E+1	-9.2574501E+2	
