Programme...:	MICH
Date........:	   202024-02-
Heure.......:	     6 16:13:
Colonnes....:	            3
Lignes......:	         1292
Décalage....:	           17
Commentaires:	

P.abs.i.(mp):	 1.5146600E+5	P.cal.i.(µm):	-4.7922656E+0	V_min___(mV):	-1.2212995E+5	
P.abs.f.(mp):	 1.5404800E+5	P.cal.f.(µm):	 2.0826016E+1	V_max___(mV):	-2.0517831E+5	
Nbre_de_pts_:	 1.2920000E+3	Délai___(ms):	 1.0000000E+1	Calibration_:	 1.0000000E+1	
Source......:	Lampe Mercure	
Filtre......:		
Détecteur...:	Si-Pin	
Éch._du_pico:	20 nano amp	
Temps___(ms):	Pos.cal.(µm):	Tension_(mV):	
 1.1945360E+7	-4.7922656E+0	-1.4167073E+2	
 1.1945370E+7	-4.7724219E+0	-1.3434294E+2	
 1.1945406E+7	-4.7525781E+0	-1.3678554E+2	
 1.1945440E+7	-4.7327344E+0	-1.4167073E+2	
 1.1945475E+7	-4.7128906E+0	-1.4411333E+2	
 1.1945509E+7	-4.6930469E+0	-1.4411333E+2	
 1.1945545E+7	-4.6732031E+0	-1.3922814E+2	
 1.1945580E+7	-4.6533594E+0	-1.3434294E+2	
 1.1945614E+7	-4.6335156E+0	-1.3922814E+2	
 1.1945649E+7	-4.6136719E+0	-1.4411333E+2	
 1.1945683E+7	-4.5938281E+0	-1.5144113E+2	
 1.1945718E+7	-4.5739844E+0	-1.5388373E+2	
 1.1945758E+7	-4.5541406E+0	-1.5876894E+2	
 1.1945793E+7	-4.5342969E+0	-1.6365413E+2	
 1.1945827E+7	-4.5144531E+0	-1.6121154E+2	
 1.1945862E+7	-4.4946094E+0	-1.5388373E+2	
 1.1945896E+7	-4.4747656E+0	-1.5388373E+2	
 1.1945931E+7	-4.4549219E+0	-1.5876894E+2	
 1.1945967E+7	-4.4350781E+0	-1.5876894E+2	
 1.1946001E+7	-4.4152344E+0	-1.5876894E+2	
 1.1946036E+7	-4.3953906E+0	-1.4655593E+2	
 1.1946070E+7	-4.3755469E+0	-1.3434294E+2	
 1.1946105E+7	-4.3557031E+0	-1.3190034E+2	
 1.1946139E+7	-4.3358594E+0	-1.3434294E+2	
 1.1946175E+7	-4.3160156E+0	-1.3678554E+2	
 1.1946210E+7	-4.2961719E+0	-1.3922814E+2	
 1.1946244E+7	-4.2763281E+0	-1.3678554E+2	
 1.1946279E+7	-4.2564844E+0	-1.3434294E+2	
 1.1946313E+7	-4.2366406E+0	-1.3922814E+2	
 1.1946348E+7	-4.2167969E+0	-1.4899853E+2	
 1.1946383E+7	-4.1969531E+0	-1.5876894E+2	
 1.1946418E+7	-4.1771094E+0	-1.6609673E+2	
 1.1946452E+7	-4.1572656E+0	-1.6609673E+2	
 1.1946487E+7	-4.1374219E+0	-1.6365413E+2	
 1.1946521E+7	-4.1175781E+0	-1.6365413E+2	
 1.1946556E+7	-4.0977344E+0	-1.6853933E+2	
 1.1946591E+7	-4.0778906E+0	-1.6853933E+2	
 1.1946626E+7	-4.0580469E+0	-1.5876894E+2	
 1.1946660E+7	-4.0382031E+0	-1.4411333E+2	
 1.1946695E+7	-4.0183594E+0	-1.3434294E+2	
 1.1946730E+7	-3.9985156E+0	-1.3190034E+2	
 1.1946764E+7	-3.9786719E+0	-1.3190034E+2	
 1.1946800E+7	-3.9588281E+0	-1.3922814E+2	
 1.1946834E+7	-3.9389844E+0	-1.4411333E+2	
 1.1946874E+7	-3.9191406E+0	-1.5144113E+2	
 1.1946908E+7	-3.8992969E+0	-1.5876894E+2	
 1.1946943E+7	-3.8794531E+0	-1.6365413E+2	
 1.1946978E+7	-3.8596094E+0	-1.6121154E+2	
 1.1947012E+7	-3.8397656E+0	-1.5876894E+2	
 1.1947048E+7	-3.8199219E+0	-1.5876894E+2	
 1.1947082E+7	-3.8000781E+0	-1.6121154E+2	
 1.1947117E+7	-3.7802344E+0	-1.5876894E+2	
 1.1947151E+7	-3.7603906E+0	-1.4411333E+2	
 1.1947186E+7	-3.7405469E+0	-1.3434294E+2	
 1.1947220E+7	-3.7207031E+0	-1.2945774E+2	
 1.1947256E+7	-3.7008594E+0	-1.3190034E+2	
 1.1947291E+7	-3.6810156E+0	-1.3434294E+2	
 1.1947325E+7	-3.6611719E+0	-1.4167073E+2	
 1.1947360E+7	-3.6413281E+0	-1.4899853E+2	
 1.1947394E+7	-3.6214844E+0	-1.4655593E+2	
 1.1947429E+7	-3.6016406E+0	-1.4899853E+2	
 1.1947464E+7	-3.5817969E+0	-1.5876894E+2	
 1.1947499E+7	-3.5619531E+0	-1.6853933E+2	
 1.1947533E+7	-3.5421094E+0	-1.7586713E+2	
 1.1947568E+7	-3.5222656E+0	-1.7586713E+2	
 1.1947602E+7	-3.5024219E+0	-1.6853933E+2	
 1.1947637E+7	-3.4825781E+0	-1.5632634E+2	
 1.1947672E+7	-3.4627344E+0	-1.4655593E+2	
 1.1947707E+7	-3.4428906E+0	-1.4411333E+2	
 1.1947742E+7	-3.4230469E+0	-1.3922814E+2	
 1.1947776E+7	-3.4032031E+0	-1.3434294E+2	
 1.1947811E+7	-3.3833594E+0	-1.2945774E+2	
 1.1947845E+7	-3.3635156E+0	-1.2945774E+2	
 1.1947881E+7	-3.3436719E+0	-1.3434294E+2	
 1.1947915E+7	-3.3238281E+0	-1.4655593E+2	
 1.1947950E+7	-3.3039844E+0	-1.5632634E+2	
 1.1947990E+7	-3.2841406E+0	-1.5632634E+2	
 1.1948024E+7	-3.2642969E+0	-1.6609673E+2	
 1.1948059E+7	-3.2444531E+0	-1.7098193E+2	
 1.1948093E+7	-3.2246094E+0	-1.6609673E+2	
 1.1948129E+7	-3.2047656E+0	-1.5876894E+2	
 1.1948163E+7	-3.1849219E+0	-1.5144113E+2	
 1.1948198E+7	-3.1650781E+0	-1.5144113E+2	
 1.1948232E+7	-3.1452344E+0	-1.4899853E+2	
 1.1948267E+7	-3.1253906E+0	-1.4167073E+2	
 1.1948301E+7	-3.1055469E+0	-1.3434294E+2	
 1.1948337E+7	-3.0857031E+0	-1.2945774E+2	
 1.1948372E+7	-3.0658594E+0	-1.3190034E+2	
 1.1948406E+7	-3.0460156E+0	-1.3922814E+2	
 1.1948441E+7	-3.0261719E+0	-1.5144113E+2	
 1.1948475E+7	-3.0063281E+0	-1.6365413E+2	
 1.1948509E+7	-2.9864844E+0	-1.6853933E+2	
 1.1948545E+7	-2.9666406E+0	-1.6365413E+2	
 1.1948579E+7	-2.9467969E+0	-1.6365413E+2	
 1.1948614E+7	-2.9269531E+0	-1.6853933E+2	
 1.1948648E+7	-2.9071094E+0	-1.7342453E+2	
 1.1948683E+7	-2.8872656E+0	-1.7586713E+2	
 1.1948718E+7	-2.8674219E+0	-1.7098193E+2	
 1.1948753E+7	-2.8475781E+0	-1.5876894E+2	
 1.1948787E+7	-2.8277344E+0	-1.3922814E+2	
 1.1948822E+7	-2.8078906E+0	-1.3190034E+2	
 1.1948856E+7	-2.7880469E+0	-1.2945774E+2	
 1.1948891E+7	-2.7682031E+0	-1.3434294E+2	
 1.1948926E+7	-2.7483594E+0	-1.3922814E+2	
 1.1948961E+7	-2.7285156E+0	-1.4411333E+2	
 1.1948995E+7	-2.7086719E+0	-1.4655593E+2	
 1.1949030E+7	-2.6888281E+0	-1.6121154E+2	
 1.1949065E+7	-2.6689844E+0	-1.6853933E+2	
 1.1949104E+7	-2.6491406E+0	-1.5632634E+2	
 1.1949139E+7	-2.6292969E+0	-1.5876894E+2	
 1.1949174E+7	-2.6094531E+0	-1.5876894E+2	
 1.1949209E+7	-2.5896094E+0	-1.4899853E+2	
 1.1949243E+7	-2.5697656E+0	-1.4167073E+2	
 1.1949278E+7	-2.5499219E+0	-1.3190034E+2	
 1.1949312E+7	-2.5300781E+0	-1.3190034E+2	
 1.1949347E+7	-2.5102344E+0	-1.3922814E+2	
 1.1949383E+7	-2.4903906E+0	-1.4899853E+2	
 1.1949417E+7	-2.4705469E+0	-1.6365413E+2	
 1.1949452E+7	-2.4507031E+0	-1.6609673E+2	
 1.1949486E+7	-2.4308594E+0	-1.6365413E+2	
 1.1949521E+7	-2.4110156E+0	-1.6121154E+2	
 1.1949555E+7	-2.3911719E+0	-1.6365413E+2	
 1.1949591E+7	-2.3713281E+0	-1.6121154E+2	
 1.1949625E+7	-2.3514844E+0	-1.5876894E+2	
 1.1949659E+7	-2.3316406E+0	-1.4899853E+2	
 1.1949694E+7	-2.3117969E+0	-1.4167073E+2	
 1.1949728E+7	-2.2919531E+0	-1.3190034E+2	
 1.1949763E+7	-2.2721094E+0	-1.2701514E+2	
 1.1949798E+7	-2.2522656E+0	-1.2945774E+2	
 1.1949833E+7	-2.2324219E+0	-1.3434294E+2	
 1.1949867E+7	-2.2125781E+0	-1.4411333E+2	
 1.1949902E+7	-2.1927344E+0	-1.4655593E+2	
 1.1949936E+7	-2.1728906E+0	-1.4899853E+2	
