Programme...:	MICH
Date........:	   202024-02-
Heure.......:	     3 14:58:
Colonnes....:	            3
Lignes......:	        11001
Décalage....:	           17
Commentaires:	

P.abs.i.(mp):	 1.5049400E+5	P.cal.i.(µm):	-1.4436328E+2	V_min___(mV):	 1.6665852E+5	
P.abs.f.(mp):	 2.0549400E+5	P.cal.f.(µm):	 5.3126680E+3	V_max___(mV):	 6.1276663E+4	
Nbre_de_pts_:	 1.1001000E+4	Délai___(ms):	 8.0000000E+1	Calibration_:	 1.0000000E+0	
Source......:	jnterferogrammeSodium.txt Sodium.txt	
Filtre......:	591nm	
Détecteur...:	Si-PIN	
Éch._du_pico:	2uA	
Temps___(ms):	Pos.cal.(µm):	Tension_(mV):	
 6.9057070E+6	-1.4436328E+2	 1.0334636E+2	
 6.9057870E+6	-1.4386719E+2	 1.0455137E+2	
 6.9058670E+6	-1.4337109E+2	 1.0600879E+2	
 6.9059470E+6	-1.4287500E+2	 1.1503012E+2	
 6.9060270E+6	-1.4237891E+2	 1.2704772E+2	
 6.9061070E+6	-1.4188281E+2	 1.4113337E+2	
 6.9061870E+6	-1.4138672E+2	 1.3830809E+2	
 6.9062670E+6	-1.4089063E+2	 1.2423058E+2	
 6.9063470E+6	-1.4039453E+2	 1.1163491E+2	
 6.9064270E+6	-1.3989844E+2	 9.7117737E+1	
 6.9065070E+6	-1.3940234E+2	 9.3966782E+1	
 6.9065870E+6	-1.3890625E+2	 8.8788472E+1	
 6.9066670E+6	-1.3841016E+2	 8.8185966E+1	
 6.9067470E+6	-1.3791406E+2	 8.9708515E+1	
 6.9068270E+6	-1.3741797E+2	 9.1548607E+1	
 6.9069070E+6	-1.3692188E+2	 9.7052597E+1	
 6.9069870E+6	-1.3642578E+2	 1.0258915E+2	
 6.9070670E+6	-1.3592969E+2	 1.1722846E+2	
 6.9071470E+6	-1.3543359E+2	 1.3854422E+2	
 6.9072270E+6	-1.3493750E+2	 1.3961895E+2	
 6.9073070E+6	-1.3444141E+2	 1.3195734E+2	
 6.9073870E+6	-1.3394531E+2	 1.1830321E+2	
 6.9074670E+6	-1.3344922E+2	 9.2273243E+1	
 6.9075470E+6	-1.3295313E+2	 8.9163005E+1	
 6.9076270E+6	-1.3245703E+2	 1.0930630E+2	
 6.9077070E+6	-1.3196094E+2	 1.3400097E+2	
 6.9077870E+6	-1.3146484E+2	 1.3829996E+2	
 6.9078670E+6	-1.3096875E+2	 1.2411659E+2	
 6.9079470E+6	-1.3047266E+2	 9.9413775E+1	
 6.9080270E+6	-1.2997656E+2	 8.5727081E+1	
 6.9081070E+6	-1.2948047E+2	 1.0072464E+2	
 6.9081870E+6	-1.2898438E+2	 1.3378115E+2	
 6.9082670E+6	-1.2848828E+2	 1.3746947E+2	
 6.9083470E+6	-1.2799219E+2	 1.1574662E+2	
 6.9084270E+6	-1.2749609E+2	 9.6295394E+1	
 6.9085070E+6	-1.2700000E+2	 9.9544048E+1	
 6.9085870E+6	-1.2650391E+2	 1.1569777E+2	
 6.9086670E+6	-1.2600781E+2	 1.3605276E+2	
 6.9087470E+6	-1.2551172E+2	 1.2800032E+2	
 6.9088270E+6	-1.2501563E+2	 1.0030125E+2	
 6.9089070E+6	-1.2451953E+2	 9.0359874E+1	
 6.9089870E+6	-1.2402344E+2	 8.9456111E+1	
 6.9090670E+6	-1.2352734E+2	 1.1134180E+2	
 6.9091470E+6	-1.2303125E+2	 1.4084840E+2	
 6.9092270E+6	-1.2253516E+2	 1.2728383E+2	
 6.9093070E+6	-1.2203906E+2	 1.0020355E+2	
 6.9093870E+6	-1.2154297E+2	 8.7265916E+1	
 6.9094670E+6	-1.2104688E+2	 9.4040059E+1	
 6.9095470E+6	-1.2055078E+2	 1.3198991E+2	
 6.9096270E+6	-1.2005469E+2	 1.4104381E+2	
 6.9097070E+6	-1.1955859E+2	 1.1989090E+2	
 6.9097870E+6	-1.1906250E+2	 9.6629210E+1	
 6.9098670E+6	-1.1856641E+2	 8.7274060E+1	
 6.9099470E+6	-1.1807031E+2	 1.0621234E+2	
 6.9100270E+6	-1.1757422E+2	 1.2808989E+2	
 6.9101070E+6	-1.1707813E+2	 1.4252564E+2	
 6.9101870E+6	-1.1658203E+2	 1.1060902E+2	
 6.9102670E+6	-1.1608594E+2	 8.8071972E+1	
 6.9103470E+6	-1.1558984E+2	 9.8322749E+1	
 6.9104270E+6	-1.1509375E+2	 1.2707214E+2	
 6.9105070E+6	-1.1459766E+2	 1.4301416E+2	
 6.9105870E+6	-1.1410156E+2	 1.2136460E+2	
 6.9106670E+6	-1.1360547E+2	 9.2729196E+1	
 6.9107470E+6	-1.1310938E+2	 9.2696629E+1	
 6.9108270E+6	-1.1261328E+2	 1.1283993E+2	
 6.9109070E+6	-1.1211719E+2	 1.3374858E+2	
 6.9109870E+6	-1.1162109E+2	 1.4190686E+2	
 6.9110670E+6	-1.1112500E+2	 1.3194919E+2	
 6.9111470E+6	-1.1062891E+2	 1.0280085E+2	
 6.9112270E+6	-1.1013281E+2	 9.1801010E+1	
 6.9113070E+6	-1.0963672E+2	 1.1082071E+2	
 6.9113870E+6	-1.0914063E+2	 1.3698095E+2	
 6.9114670E+6	-1.0864453E+2	 1.4233024E+2	
 6.9115470E+6	-1.0814844E+2	 1.1397167E+2	
 6.9116270E+6	-1.0765234E+2	 9.0376161E+1	
 6.9117070E+6	-1.0715625E+2	 9.2786193E+1	
 6.9117870E+6	-1.0666016E+2	 1.1505455E+2	
 6.9118670E+6	-1.0616406E+2	 1.3647614E+2	
 6.9119470E+6	-1.0566797E+2	 1.4138576E+2	
 6.9120270E+6	-1.0517188E+2	 1.1897899E+2	
 6.9121070E+6	-1.0467578E+2	 9.6897900E+1	
 6.9121870E+6	-1.0417969E+2	 8.8878036E+1	
 6.9122670E+6	-1.0368359E+2	 1.2171470E+2	
 6.9123470E+6	-1.0318750E+2	 1.4341313E+2	
 6.9124270E+6	-1.0269141E+2	 1.2858655E+2	
 6.9125070E+6	-1.0219531E+2	 1.0812571E+2	
 6.9125870E+6	-1.0169922E+2	 8.8511646E+1	
 6.9126670E+6	-1.0120313E+2	 9.5839441E+1	
 6.9127470E+6	-1.0070703E+2	 1.3249470E+2	
 6.9128270E+6	-1.0021094E+2	 1.3897574E+2	
 6.9129070E+6	-9.9714844E+1	 1.2104706E+2	
 6.9129870E+6	-9.9218750E+1	 1.0433968E+2	
 6.9130670E+6	-9.8722656E+1	 8.8145256E+1	
 6.9131470E+6	-9.8226562E+1	 9.0490147E+1	
 6.9132270E+6	-9.7730469E+1	 1.1835206E+2	
 6.9133070E+6	-9.7234375E+1	 1.3897574E+2	
 6.9133870E+6	-9.6738281E+1	 1.3098843E+2	
 6.9134670E+6	-9.6242187E+1	 9.8835692E+1	
 6.9135470E+6	-9.5746094E+1	 8.6940236E+1	
 6.9136270E+6	-9.5250000E+1	 1.0691255E+2	
 6.9137070E+6	-9.4753906E+1	 1.2736525E+2	
 6.9137870E+6	-9.4257812E+1	 1.3940726E+2	
 6.9138670E+6	-9.3761719E+1	 1.2371764E+2	
 6.9139470E+6	-9.3265625E+1	 1.0067578E+2	
 6.9140270E+6	-9.2769531E+1	 8.5181564E+1	
 6.9141070E+6	-9.2273437E+1	 9.3958639E+1	
 6.9141870E+6	-9.1777344E+1	 1.1531509E+2	
 6.9142670E+6	-9.1281250E+1	 1.3775444E+2	
 6.9143470E+6	-9.0785156E+1	 1.2668133E+2	
 6.9144270E+6	-9.0289062E+1	 9.3543395E+1	
 6.9145070E+6	-8.9792969E+1	 8.6581990E+1	
 6.9145870E+6	-8.9296875E+1	 1.0195408E+2	
 6.9146670E+6	-8.8800781E+1	 1.3619117E+2	
 6.9147470E+6	-8.8304687E+1	 1.4051458E+2	
 6.9148270E+6	-8.7808594E+1	 1.0058622E+2	
 6.9149070E+6	-8.7312500E+1	 8.6142324E+1	
 6.9149870E+6	-8.6816406E+1	 8.9578241E+1	
 6.9150670E+6	-8.6320312E+1	 1.0109103E+2	
 6.9151470E+6	-8.5824219E+1	 1.2725940E+2	
 6.9152270E+6	-8.5328125E+1	 1.3956197E+2	
 6.9153070E+6	-8.4832031E+1	 1.1113011E+2	
 6.9153870E+6	-8.4335937E+1	 8.8983878E+1	
 6.9154670E+6	-8.3839844E+1	 8.8039406E+1	
 6.9155470E+6	-8.3343750E+1	 1.0709982E+2	
 6.9156270E+6	-8.2847656E+1	 1.3393584E+2	
 6.9157070E+6	-8.2351562E+1	 1.4033546E+2	
 6.9157870E+6	-8.1855469E+1	 1.1979319E+2	
 6.9158670E+6	-8.1359375E+1	 9.2403516E+1	
 6.9159470E+6	-8.0863281E+1	 8.6003907E+1	
 6.9160270E+6	-8.0367187E+1	 9.6262828E+1	
 6.9161070E+6	-7.9871094E+1	 1.2235792E+2	
 6.9161870E+6	-7.9375000E+1	 1.4119036E+2	
 6.9162670E+6	-7.8878906E+1	 1.3650057E+2	
 6.9163470E+6	-7.8382812E+1	 1.0092819E+2	
 6.9164270E+6	-7.7886719E+1	 8.3992831E+1	
 6.9165070E+6	-7.7390625E+1	 1.0350920E+2	
 6.9165870E+6	-7.6894531E+1	 1.2885523E+2	
 6.9166670E+6	-7.6398437E+1	 1.4198014E+2	
 6.9167470E+6	-7.5902344E+1	 1.2980784E+2	
 6.9168270E+6	-7.5406250E+1	 9.3461975E+1	
 6.9169070E+6	-7.4910156E+1	 8.6272597E+1	
 6.9169870E+6	-7.4414062E+1	 1.0127015E+2	
 6.9170670E+6	-7.3917969E+1	 1.2294415E+2	
 6.9171470E+6	-7.3421875E+1	 1.3878848E+2	
 6.9172270E+6	-7.2925781E+1	 1.3937469E+2	
 6.9173070E+6	-7.2429687E+1	 1.1384139E+2	
 6.9173870E+6	-7.1933594E+1	 8.6728543E+1	
 6.9174670E+6	-7.1437500E+1	 9.1727734E+1	
 6.9175470E+6	-7.0941406E+1	 1.1874288E+2	
 6.9176270E+6	-7.0445312E+1	 1.3493730E+2	
 6.9177070E+6	-6.9949219E+1	 1.3739619E+2	
 6.9177870E+6	-6.9453125E+1	 1.1847419E+2	
 6.9178670E+6	-6.8957031E+1	 9.0718120E+1	
 6.9179470E+6	-6.8460937E+1	 8.7502033E+1	
