Distance_(pixels),Gray_Value
0,0.480
1,0.480
2,0.480
3,0.480
4,0.427
5,0.427
6,0.427
7,0.427
8,0.427
9,0.427
10,0.427
11,0.427
12,0.427
13,0.427
14,0.427
15,0.427
16,0.427
17,0.427
18,0.427
19,0.427
20,0.480
21,0.480
22,0.480
23,0.480
24,0.516
25,0.516
26,0.587
27,0.587
28,0.631
29,0.631
30,0.631
31,0.631
32,0.631
33,0.631
34,0.631
35,0.631
36,0.698
37,0.698
38,0.698
39,0.698
40,0.698
41,0.698
42,0.698
43,0.698
44,0.511
45,0.502
46,0.493
47,0.484
48,0.360
49,0.351
50,0.342
51,0.316
52,0.200
53,0.187
54,0.133
55,0.107
56,0.000
57,0.000
58,0.000
59,0.000
60,0.000
61,0.000
62,0.000
63,0.000
64,0.000
65,0.000
66,0.000
67,0.000
68,0.000
69,0.000
70,0.000
71,0.000
72,0.000
73,0.000
74,0.000
75,0.000
76,0.000
77,0.000
78,0.000
79,0.000
80,0.320
81,0.320
82,0.320
83,0.320
84,0.427
85,0.413
86,0.413
87,0.387
88,0.373
89,0.373
90,0.373
91,0.373
92,0.213
93,0.213
94,0.213
95,0.213
96,0.000
97,0.000
98,0.000
99,0.000
100,0.071
101,0.071
102,0.000
103,0.000
104,0.000
105,0.160
106,0.267
107,0.427
108,0.440
109,0.578
110,0.871
111,0.929
112,1.111
113,1.271
114,1.462
115,1.742
116,2.107
117,2.209
118,2.422
119,2.520
120,2.929
121,3.027
122,3.436
123,3.498
124,4.080
125,4.133
126,4.391
127,4.684
128,5.267
129,5.431
130,5.609
131,5.676
132,5.991
133,6.213
134,6.284
135,6.356
136,6.271
137,6.124
138,6.111
139,6.147
140,6.196
141,6.040
142,6.004
143,5.711
144,5.724
145,5.751
146,5.831
147,5.560
148,5.062
149,4.476
150,4.164
151,3.893
152,3.360
153,3.253
154,3.169
155,3.080
156,2.413
157,2.227
158,2.076
159,2.009
160,1.622
161,1.338
162,0.978
163,0.827
164,0.000
165,0.000
166,0.000
167,0.000
168,0.000
169,0.000
170,0.000
171,0.000
172,0.000
173,0.000
174,0.000
175,0.000
176,0.000
177,0.000
178,0.000
179,0.000
180,0.000
181,0.000
182,0.013
183,0.027
184,0.053
185,0.067
186,0.080
187,0.093
188,0.067
189,0.067
190,0.067
191,0.067
192,0.067
193,0.067
194,0.067
195,0.067
196,0.622
197,0.502
198,0.093
199,0.293
200,0.564
201,0.844
202,0.969
203,1.138
204,1.444
205,1.818
206,2.511
207,2.938
208,3.640
209,4.227
210,5.333
211,5.956
212,6.787
213,6.898
214,7.316
215,8.169
216,9.262
217,10.667
218,11.613
219,12.444
220,12.853
221,13.489
222,14.533
223,15.671
224,16.640
225,17.293
226,18.022
227,18.511
228,19.302
229,19.702
230,20.116
231,20.516
232,20.809
233,20.796
234,20.822
235,20.920
236,21.640
237,21.387
238,21.133
239,21.111
240,20.853
241,20.378
242,19.622
243,18.707
244,18.187
245,17.316
246,16.747
247,16.262
248,15.564
249,14.000
250,13.071
251,12.747
252,12.404
253,11.902
254,11.916
255,11.942
256,11.196
257,10.609
258,10.796
259,10.858
260,11.520
261,11.889
262,12.489
263,13.129
264,13.929
265,14.813
266,15.684
267,16.440
268,17.058
269,18.204
270,20.018
271,21.360
272,21.907
273,23.098
274,24.813
275,25.880
276,27.596
277,27.058
278,28.653
279,29.760
280,29.360
281,30.427
282,31.809
283,31.378
284,31.436
285,31.658
286,31.636
287,31.578
288,31.653
289,32.049
290,30.511
291,30.156
292,30.342
293,30.911
294,29.084
295,26.760
296,25.973
297,24.991
298,23.960
299,21.964
300,21.373
301,20.902
302,20.542
303,20.227
304,20.369
305,20.729
306,21.547
307,22.884
308,25.413
309,27.187
310,29.707
311,32.009
312,33.884
313,36.467
314,37.760
315,41.613
316,43.022
317,44.742
318,48.249
319,50.462
320,52.462
321,55.067
322,57.271
323,58.773
324,64.684
325,66.271
326,69.693
327,72.991
328,77.400
329,82.338
330,84.222
331,83.787
332,86.071
