% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 44.37 s, time offset 22.19 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2024-11-04 T 11:19:32 -0500
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-4.410958406400e+01, -1.709819e-02, -1.514411e+00
-4.406608348800e+01, -1.831949e-02, -1.526624e+00
-4.402258291200e+01, -1.709819e-02, -1.514411e+00
-4.397908233600e+01, -1.709819e-02, -1.526624e+00
-4.393558176000e+01, -1.465559e-02, -1.526624e+00
-4.389208118400e+01, -1.709819e-02, -1.532731e+00
-4.384858060800e+01, -1.709819e-02, -1.526624e+00
-4.380508003200e+01, -1.709819e-02, -1.526624e+00
-4.376157945600e+01, -1.709819e-02, -1.496092e+00
-4.371807888000e+01, -1.709819e-02, -1.526624e+00
-4.367457830400e+01, -1.831949e-02, -1.526624e+00
-4.363107772800e+01, -1.709819e-02, -1.526624e+00
-4.358757715200e+01, -1.954079e-02, -1.526624e+00
-4.354407657600e+01, -1.831949e-02, -1.526624e+00
-4.350057600000e+01, -1.709819e-02, -1.526624e+00
-4.345707542400e+01, -1.831949e-02, -1.526624e+00
-4.341357484800e+01, -1.709819e-02, -1.532731e+00
-4.337007427200e+01, -1.709819e-02, -1.520518e+00
-4.332657369600e+01, -1.709819e-02, -1.526624e+00
-4.328307312000e+01, -1.954079e-02, -1.526624e+00
-4.323957254400e+01, -1.709819e-02, -1.526624e+00
-4.319607196800e+01, -1.831949e-02, -1.526624e+00
-4.315257139200e+01, -1.954079e-02, -1.538837e+00
-4.310907081600e+01, -1.709819e-02, -1.520518e+00
-4.306557024000e+01, -1.954079e-02, -1.526624e+00
-4.302206966400e+01, -1.831949e-02, -1.520518e+00
-4.297856908800e+01, -1.831949e-02, -1.526624e+00
-4.293506851200e+01, -1.831949e-02, -1.526624e+00
-4.289156793600e+01, -1.954079e-02, -1.526624e+00
-4.284806736000e+01, -1.954079e-02, -1.526624e+00
-4.280456678400e+01, -1.831949e-02, -1.544944e+00
-4.276106620800e+01, -1.709819e-02, -1.563263e+00
-4.271756563200e+01, -1.709819e-02, -1.581583e+00
-4.267406505600e+01, -1.709819e-02, -1.599902e+00
-4.263056448000e+01, -1.831949e-02, -1.618222e+00
-4.258706390400e+01, -1.709819e-02, -1.642648e+00
-4.254356332800e+01, -1.709819e-02, -1.654861e+00
-4.250006275200e+01, -1.831949e-02, -1.685393e+00
-4.245656217600e+01, -1.954079e-02, -1.709819e+00
-4.241306160000e+01, -1.709819e-02, -1.728139e+00
-4.236956102400e+01, -1.709819e-02, -1.740352e+00
-4.232606044800e+01, -1.709819e-02, -1.764778e+00
-4.228255987200e+01, -1.709819e-02, -1.783097e+00
-4.223905929600e+01, -1.831949e-02, -1.801417e+00
-4.219555872000e+01, -1.709819e-02, -1.825843e+00
-4.215205814400e+01, -1.709819e-02, -1.838056e+00
-4.210855756800e+01, -1.831949e-02, -1.862482e+00
-4.206505699200e+01, -1.831949e-02, -1.880801e+00
-4.202155641600e+01, -1.709819e-02, -1.905227e+00
-4.197805584000e+01, -1.709819e-02, -1.923547e+00
-4.193455526400e+01, -1.709819e-02, -1.935760e+00
-4.189105468800e+01, -1.831949e-02, -1.966292e+00
-4.184755411200e+01, -1.831949e-02, -1.984612e+00
-4.180405353600e+01, -1.709819e-02, -2.002931e+00
-4.176055296000e+01, -1.709819e-02, -2.015144e+00
-4.171705238400e+01, -1.709819e-02, -2.045677e+00
-4.167355180800e+01, -1.709819e-02, -2.063996e+00
