% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 44.37 s, time offset 29.45 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2024-11-04 T 09:52:51 -0500
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-5.071267520000e+01, -1.465559e-02, 1.886908e+00
-5.066536860000e+01, -1.954079e-02, 1.899121e+00
-5.061806200000e+01, -1.587689e-02, 1.880801e+00
-5.057075540000e+01, -1.587689e-02, 1.880801e+00
-5.052344880000e+01, -1.465559e-02, 1.886908e+00
-5.047614220000e+01, -1.831949e-02, 1.874695e+00
-5.042883560000e+01, -1.587689e-02, 1.880801e+00
-5.038152900000e+01, -1.587689e-02, 1.880801e+00
-5.033422240000e+01, -1.465559e-02, 1.893014e+00
-5.028691580000e+01, -1.587689e-02, 1.886908e+00
-5.023960920000e+01, -1.709819e-02, 1.911334e+00
-5.019230260000e+01, -1.465559e-02, 1.886908e+00
-5.014499600000e+01, -1.587689e-02, 1.880801e+00
-5.009768940000e+01, -1.587689e-02, 1.886908e+00
-5.005038280000e+01, -1.465559e-02, 1.880801e+00
-5.000307620000e+01, -1.587689e-02, 1.880801e+00
-4.995576960000e+01, -1.709819e-02, 1.886908e+00
-4.990846300000e+01, -1.465559e-02, 1.886908e+00
-4.986115640000e+01, -1.465559e-02, 1.886908e+00
-4.981384980000e+01, -1.587689e-02, 1.886908e+00
-4.976654320000e+01, -1.465559e-02, 1.886908e+00
-4.971923660000e+01, -1.587689e-02, 1.886908e+00
-4.967193000000e+01, -1.587689e-02, 1.893014e+00
-4.962462340000e+01, -1.465559e-02, 1.886908e+00
-4.957731680000e+01, -1.465559e-02, 1.893014e+00
-4.953001020000e+01, -1.465559e-02, 1.880801e+00
-4.948270360000e+01, -1.465559e-02, 1.880801e+00
-4.943539700000e+01, -1.465559e-02, 1.880801e+00
-4.938809040000e+01, -1.587689e-02, 1.886908e+00
-4.934078380000e+01, -1.709819e-02, 1.886908e+00
-4.929347720000e+01, -1.709819e-02, 1.886908e+00
-4.924617060000e+01, -1.709819e-02, 1.862482e+00
-4.919886400000e+01, -1.587689e-02, 1.893014e+00
-4.915155740000e+01, -1.587689e-02, 1.886908e+00
-4.910425080000e+01, -1.465559e-02, 1.886908e+00
-4.905694420000e+01, -1.465559e-02, 1.880801e+00
-4.900963760000e+01, -1.709819e-02, 1.880801e+00
-4.896233100000e+01, -1.465559e-02, 1.886908e+00
-4.891502440000e+01, -1.465559e-02, 1.886908e+00
-4.886771780000e+01, -1.587689e-02, 1.886908e+00
-4.882041120000e+01, -1.587689e-02, 1.886908e+00
-4.877310460000e+01, -1.465559e-02, 1.880801e+00
-4.872579800000e+01, -1.587689e-02, 1.880801e+00
-4.867849140000e+01, -1.465559e-02, 1.886908e+00
-4.863118480000e+01, -1.587689e-02, 1.880801e+00
-4.858387820000e+01, -1.709819e-02, 1.862482e+00
-4.853657160000e+01, -1.709819e-02, 1.886908e+00
-4.848926500000e+01, -1.587689e-02, 1.880801e+00
-4.844195840000e+01, -1.587689e-02, 1.880801e+00
-4.839465180000e+01, -1.709819e-02, 1.886908e+00
-4.834734520000e+01, -1.465559e-02, 1.880801e+00
-4.830003860000e+01, -1.587689e-02, 1.886908e+00
-4.825273200000e+01, -1.831949e-02, 1.856375e+00
-4.820542540000e+01, -1.709819e-02, 1.880801e+00
-4.815811880000e+01, -1.587689e-02, 1.886908e+00
-4.811081220000e+01, -1.709819e-02, 1.886908e+00
-4.806350560000e+01, -1.587689e-02, 1.868588e+00
-4.801619900000e+01, -1.587689e-02, 1.844162e+00
-4.796889240000e+01, -1.465559e-02, 1.819736e+00
-4.792158580000e+01, -1.343429e-02, 1.795310e+00
-4.787427920000e+01, -1.465559e-02, 1.776991e+00
-4.782697260000e+01, -1.465559e-02, 1.764778e+00
-4.777966600000e+01, -1.465559e-02, 1.734245e+00
-4.773235940000e+01, -1.465559e-02, 1.722032e+00
-4.768505280000e+01, -1.465559e-02, 1.697606e+00
-4.763774620000e+01, -1.343429e-02, 1.673180e+00
-4.759043960000e+01, -1.465559e-02, 1.648754e+00
-4.754313300000e+01, -1.343429e-02, 1.636541e+00
-4.749582640000e+01, -1.465559e-02, 1.612115e+00
-4.744851980000e+01, -1.221300e-02, 1.599902e+00
-4.740121320000e+01, -1.343429e-02, 1.569370e+00
-4.735390660000e+01, -1.221300e-02, 1.551050e+00
-4.730660000000e+01, -1.343429e-02, 1.520518e+00
-4.725929340000e+01, -1.099170e-02, 1.502198e+00
-4.721198680000e+01, -9.770396e-03, 1.489985e+00
-4.716468020000e+01, -1.221300e-02, 1.453346e+00
-4.711737360000e+01, -1.099170e-02, 1.441133e+00
-4.707006700000e+01, -1.221300e-02, 1.416707e+00
-4.702276040000e+01, -1.099170e-02, 1.392281e+00
-4.697545380000e+01, -1.099170e-02, 1.373962e+00
-4.692814720000e+01, -1.099170e-02, 1.337323e+00
-4.688084060000e+01, -1.221300e-02, 1.325110e+00
-4.683353400000e+01, -9.770396e-03, 1.306790e+00
-4.678622740000e+01, -1.099170e-02, 1.288471e+00
-4.673892080000e+01, -9.770396e-03, 1.270151e+00
-4.669161420000e+01, -8.549097e-03, 1.233512e+00
-4.664430760000e+01, -9.770396e-03, 1.227406e+00
-4.659700100000e+01, -8.549097e-03, 1.190767e+00
-4.654969440000e+01, -7.327797e-03, 1.178554e+00
-4.650238780000e+01, -8.549097e-03, 1.160234e+00
