% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 44.37 s, time offset 22.64 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2024-11-04 T 10:46:10 -0500
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-4.482734356800e+01, -1.709819e-02, 1.966292e+00
-4.478384299200e+01, -1.709819e-02, 1.966292e+00
-4.474034241600e+01, -1.831949e-02, 1.966292e+00
-4.469684184000e+01, -1.587689e-02, 1.966292e+00
-4.465334126400e+01, -1.709819e-02, 1.972399e+00
-4.460984068800e+01, -1.831949e-02, 1.972399e+00
-4.456634011200e+01, -1.709819e-02, 1.966292e+00
-4.452283953600e+01, -1.831949e-02, 1.972399e+00
-4.447933896000e+01, -1.709819e-02, 1.966292e+00
-4.443583838400e+01, -1.709819e-02, 1.966292e+00
-4.439233780800e+01, -1.709819e-02, 1.966292e+00
-4.434883723200e+01, -1.709819e-02, 1.954079e+00
-4.430533665600e+01, -1.709819e-02, 1.966292e+00
-4.426183608000e+01, -1.709819e-02, 1.972399e+00
-4.421833550400e+01, -1.709819e-02, 1.966292e+00
-4.417483492800e+01, -1.831949e-02, 1.972399e+00
-4.413133435200e+01, -1.709819e-02, 1.990718e+00
-4.408783377600e+01, -1.709819e-02, 1.972399e+00
-4.404433320000e+01, -1.709819e-02, 1.966292e+00
-4.400083262400e+01, -1.831949e-02, 1.966292e+00
-4.395733204800e+01, -1.831949e-02, 1.966292e+00
-4.391383147200e+01, -1.709819e-02, 1.966292e+00
-4.387033089600e+01, -1.831949e-02, 1.966292e+00
-4.382683032000e+01, -1.709819e-02, 1.972399e+00
-4.378332974400e+01, -1.831949e-02, 1.972399e+00
-4.373982916800e+01, -1.831949e-02, 1.966292e+00
-4.369632859200e+01, -1.954079e-02, 1.960186e+00
-4.365282801600e+01, -1.831949e-02, 1.972399e+00
-4.360932744000e+01, -1.709819e-02, 1.966292e+00
-4.356582686400e+01, -1.709819e-02, 1.966292e+00
-4.352232628800e+01, -1.831949e-02, 1.966292e+00
-4.347882571200e+01, -1.709819e-02, 1.966292e+00
-4.343532513600e+01, -1.709819e-02, 1.972399e+00
-4.339182456000e+01, -1.709819e-02, 1.972399e+00
-4.334832398400e+01, -1.831949e-02, 1.941866e+00
-4.330482340800e+01, -1.709819e-02, 1.972399e+00
-4.326132283200e+01, -1.954079e-02, 1.972399e+00
-4.321782225600e+01, -1.709819e-02, 1.972399e+00
-4.317432168000e+01, -1.709819e-02, 1.966292e+00
-4.313082110400e+01, -1.709819e-02, 1.960186e+00
-4.308732052800e+01, -1.709819e-02, 1.972399e+00
-4.304381995200e+01, -1.831949e-02, 1.972399e+00
-4.300031937600e+01, -1.709819e-02, 1.978505e+00
-4.295681880000e+01, -1.709819e-02, 1.966292e+00
-4.291331822400e+01, -1.831949e-02, 1.966292e+00
-4.286981764800e+01, -1.831949e-02, 1.972399e+00
-4.282631707200e+01, -1.831949e-02, 1.966292e+00
-4.278281649600e+01, -1.709819e-02, 1.972399e+00
-4.273931592000e+01, -1.709819e-02, 1.966292e+00
-4.269581534400e+01, -1.709819e-02, 1.972399e+00
-4.265231476800e+01, -1.831949e-02, 1.966292e+00
-4.260881419200e+01, -1.831949e-02, 1.972399e+00
-4.256531361600e+01, -1.709819e-02, 1.960186e+00
-4.252181304000e+01, -1.831949e-02, 1.960186e+00
-4.247831246400e+01, -1.709819e-02, 1.929653e+00
-4.243481188800e+01, -1.709819e-02, 1.899121e+00
-4.239131131200e+01, -1.709819e-02, 1.886908e+00
-4.234781073600e+01, -1.709819e-02, 1.880801e+00
-4.230431016000e+01, -1.709819e-02, 1.844162e+00
-4.226080958400e+01, -1.709819e-02, 1.831949e+00
-4.221730900800e+01, -1.587689e-02, 1.813630e+00
-4.217380843200e+01, -1.709819e-02, 1.795310e+00
-4.213030785600e+01, -1.709819e-02, 1.770884e+00
-4.208680728000e+01, -1.709819e-02, 1.746458e+00
-4.204330670400e+01, -1.831949e-02, 1.722032e+00
-4.199980612800e+01, -1.709819e-02, 1.715926e+00
-4.195630555200e+01, -1.709819e-02, 1.697606e+00
-4.191280497600e+01, -1.709819e-02, 1.679287e+00
-4.186930440000e+01, -1.831949e-02, 1.642648e+00
-4.182580382400e+01, -1.709819e-02, 1.642648e+00
-4.178230324800e+01, -1.709819e-02, 1.618222e+00
-4.173880267200e+01, -1.587689e-02, 1.618222e+00
-4.169530209600e+01, -1.709819e-02, 1.575476e+00
-4.165180152000e+01, -1.831949e-02, 1.551050e+00
-4.160830094400e+01, -1.709819e-02, 1.538837e+00
-4.156480036800e+01, -1.709819e-02, 1.520518e+00
-4.152129979200e+01, -1.587689e-02, 1.508305e+00
-4.147779921600e+01, -1.709819e-02, 1.477772e+00
-4.143429864000e+01, -1.709819e-02, 1.453346e+00
-4.139079806400e+01, -1.709819e-02, 1.428920e+00
-4.134729748800e+01, -1.587689e-02, 1.416707e+00
-4.130379691200e+01, -1.709819e-02, 1.392281e+00
-4.126029633600e+01, -1.587689e-02, 1.373962e+00
-4.121679576000e+01, -1.587689e-02, 1.355642e+00
-4.117329518400e+01, -1.709819e-02, 1.331216e+00
-4.112979460800e+01, -1.709819e-02, 1.312897e+00
-4.108629403200e+01, -1.465559e-02, 1.294577e+00
