% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 44.37 s, time offset 22.19 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2024-11-04 T 10:27:57 -0500
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-4.384858060800e+01, -1.343429e-02, 1.667074e+00
-4.380508003200e+01, -1.465559e-02, 1.673180e+00
-4.376157945600e+01, -1.465559e-02, 1.679287e+00
-4.371807888000e+01, -1.465559e-02, 1.673180e+00
-4.367457830400e+01, -1.343429e-02, 1.679287e+00
-4.363107772800e+01, -1.221300e-02, 1.679287e+00
-4.358757715200e+01, -1.465559e-02, 1.673180e+00
-4.354407657600e+01, -1.465559e-02, 1.673180e+00
-4.350057600000e+01, -1.221300e-02, 1.673180e+00
-4.345707542400e+01, -1.465559e-02, 1.673180e+00
-4.341357484800e+01, -1.465559e-02, 1.673180e+00
-4.337007427200e+01, -1.343429e-02, 1.673180e+00
-4.332657369600e+01, -1.465559e-02, 1.667074e+00
-4.328307312000e+01, -1.465559e-02, 1.667074e+00
-4.323957254400e+01, -1.221300e-02, 1.697606e+00
-4.319607196800e+01, -1.343429e-02, 1.673180e+00
-4.315257139200e+01, -1.343429e-02, 1.673180e+00
-4.310907081600e+01, -1.465559e-02, 1.673180e+00
-4.306557024000e+01, -1.343429e-02, 1.673180e+00
-4.302206966400e+01, -1.465559e-02, 1.673180e+00
-4.297856908800e+01, -1.465559e-02, 1.667074e+00
-4.293506851200e+01, -1.343429e-02, 1.667074e+00
-4.289156793600e+01, -1.465559e-02, 1.673180e+00
-4.284806736000e+01, -1.465559e-02, 1.673180e+00
-4.280456678400e+01, -1.221300e-02, 1.673180e+00
-4.276106620800e+01, -1.343429e-02, 1.667074e+00
-4.271756563200e+01, -1.465559e-02, 1.660967e+00
-4.267406505600e+01, -1.221300e-02, 1.636541e+00
-4.263056448000e+01, -1.221300e-02, 1.618222e+00
-4.258706390400e+01, -1.221300e-02, 1.599902e+00
-4.254356332800e+01, -1.221300e-02, 1.581583e+00
-4.250006275200e+01, -1.343429e-02, 1.557157e+00
-4.245656217600e+01, -1.221300e-02, 1.544944e+00
-4.241306160000e+01, -1.221300e-02, 1.520518e+00
-4.236956102400e+01, -1.221300e-02, 1.502198e+00
-4.232606044800e+01, -1.221300e-02, 1.477772e+00
-4.228255987200e+01, -9.770396e-03, 1.477772e+00
-4.223905929600e+01, -1.221300e-02, 1.435027e+00
-4.219555872000e+01, -1.221300e-02, 1.422814e+00
-4.215205814400e+01, -1.099170e-02, 1.398388e+00
-4.210855756800e+01, -9.770396e-03, 1.398388e+00
-4.206505699200e+01, -1.099170e-02, 1.361749e+00
-4.202155641600e+01, -1.099170e-02, 1.337323e+00
-4.197805584000e+01, -1.099170e-02, 1.319003e+00
-4.193455526400e+01, -1.099170e-02, 1.300684e+00
-4.189105468800e+01, -9.770396e-03, 1.282364e+00
-4.184755411200e+01, -8.549097e-03, 1.257938e+00
-4.180405353600e+01, -8.549097e-03, 1.245725e+00
-4.176055296000e+01, -9.770396e-03, 1.227406e+00
-4.171705238400e+01, -8.549097e-03, 1.202980e+00
-4.167355180800e+01, -7.327797e-03, 1.178554e+00
-4.163005123200e+01, -7.327797e-03, 1.154128e+00
-4.158655065600e+01, -6.106498e-03, 1.141915e+00
-4.154305008000e+01, -7.327797e-03, 1.141915e+00
-4.149954950400e+01, -7.327797e-03, 1.099170e+00
-4.145604892800e+01, -6.106498e-03, 1.068637e+00
-4.141254835200e+01, -4.885198e-03, 1.062531e+00
-4.136904777600e+01, -6.106498e-03, 1.044211e+00
-4.132554720000e+01, -4.885198e-03, 1.019785e+00
-4.128204662400e+01, -3.663899e-03, 9.953591e-01
-4.123854604800e+01, -2.442599e-03, 9.831461e-01
-4.119504547200e+01, -2.442599e-03, 9.404006e-01
-4.115154489600e+01, -2.442599e-03, 9.404006e-01
-4.110804432000e+01, -1.221300e-03, 9.281876e-01
-4.106454374400e+01, -2.442599e-03, 9.037616e-01
-4.102104316800e+01, -1.221300e-03, 8.854421e-01
-4.097754259200e+01, -1.221300e-03, 8.610161e-01
-4.093404201600e+01, -1.221300e-03, 8.426966e-01
-4.089054144000e+01, 0.000000e+00, 8.243771e-01
-4.084704086400e+01, 0.000000e+00, 8.121641e-01
-4.080354028800e+01, 0.000000e+00, 7.755252e-01
-4.076003971200e+01, 2.442599e-03, 7.633122e-01
-4.071653913600e+01, 2.442599e-03, 7.388862e-01
-4.067303856000e+01, 3.663899e-03, 7.205667e-01
-4.062953798400e+01, 2.442599e-03, 7.083537e-01
-4.058603740800e+01, 4.885198e-03, 6.839277e-01
-4.054253683200e+01, 4.885198e-03, 6.717147e-01
-4.049903625600e+01, 6.106498e-03, 6.533952e-01
-4.045553568000e+01, 7.327797e-03, 5.984367e-01
-4.041203510400e+01, 7.327797e-03, 6.106497e-01
-4.036853452800e+01, 7.327797e-03, 5.801172e-01
-4.032503395200e+01, 8.549097e-03, 5.679042e-01
-4.028153337600e+01, 8.549097e-03, 5.434783e-01
-4.023803280000e+01, 9.770396e-03, 5.251588e-01
-4.019453222400e+01, 9.770396e-03, 5.129458e-01
