% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 100.0 s, time offset 50.00 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2022-09-19 T 11:28:24 -0400
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-4.372552601600e+01, -3.663898e-02, 1.935760e+00
-4.362748672000e+01, -3.663898e-02, 1.929653e+00
-4.352944742400e+01, -3.663898e-02, 1.929653e+00
-4.343140812800e+01, -3.663898e-02, 1.929653e+00
-4.333336883200e+01, -3.663898e-02, 1.929653e+00
-4.323532953600e+01, -3.663898e-02, 1.941866e+00
-4.313729024000e+01, -4.274548e-02, 1.929653e+00
-4.303925094400e+01, -3.663898e-02, 1.929653e+00
-4.294121164800e+01, -3.663898e-02, 1.947973e+00
-4.284317235200e+01, -3.053249e-02, 1.905227e+00
-4.274513305600e+01, -3.663898e-02, 1.856375e+00
-4.264709376000e+01, -3.053249e-02, 1.819736e+00
-4.254905446400e+01, -3.053249e-02, 1.770884e+00
-4.245101516800e+01, -3.663898e-02, 1.734245e+00
-4.235297587200e+01, -3.053249e-02, 1.697606e+00
-4.225493657600e+01, -3.053249e-02, 1.648754e+00
-4.215689728000e+01, -3.053249e-02, 1.606009e+00
-4.205885798400e+01, -2.442599e-02, 1.557157e+00
-4.196081868800e+01, -2.442599e-02, 1.526624e+00
-4.186277939200e+01, -2.442599e-02, 1.465559e+00
-4.176474009600e+01, -1.831949e-02, 1.435027e+00
-4.166670080000e+01, -2.442599e-02, 1.386175e+00
-4.156866150400e+01, -1.831949e-02, 1.337323e+00
-4.147062220800e+01, -1.831949e-02, 1.306790e+00
-4.137258291200e+01, -1.221299e-02, 1.257938e+00
-4.127454361600e+01, -1.221299e-02, 1.215193e+00
-4.117650432000e+01, -1.221299e-02, 1.172447e+00
-4.107846502400e+01, -6.106497e-03, 1.129702e+00
-4.098042572800e+01, -6.106497e-03, 1.086957e+00
-4.088238643200e+01, -6.106497e-03, 1.056424e+00
-4.078434713600e+01, -6.106497e-03, 1.007572e+00
-4.068630784000e+01, 0.000000e+00, 9.587201e-01
-4.058826854400e+01, 0.000000e+00, 9.220811e-01
-4.049022924800e+01, 6.106497e-03, 8.732291e-01
-4.039218995200e+01, 6.106497e-03, 8.243771e-01
-4.029415065600e+01, 1.221299e-02, 7.816316e-01
-4.019611136000e+01, 1.831949e-02, 7.449927e-01
-4.009807206400e+01, 1.831949e-02, 7.083537e-01
-4.000003276800e+01, 2.442599e-02, 6.472887e-01
-3.990199347200e+01, 2.442599e-02, 6.106497e-01
-3.980395417600e+01, 3.053249e-02, 5.679042e-01
-3.970591488000e+01, 3.663898e-02, 5.251588e-01
-3.960787558400e+01, 3.663898e-02, 4.824133e-01
-3.950983628800e+01, 3.663898e-02, 4.396678e-01
-3.941179699200e+01, 4.885198e-02, 3.969223e-01
-3.931375769600e+01, 4.885198e-02, 3.541768e-01
-3.921571840000e+01, 5.495848e-02, 3.175379e-01
-3.911767910400e+01, 6.106497e-02, 2.686859e-01
-3.901963980800e+01, 6.106497e-02, 2.259404e-01
-3.892160051200e+01, 6.717147e-02, 1.831949e-01
-3.882356121600e+01, 7.327797e-02, 1.404494e-01
-3.872552192000e+01, 7.327797e-02, 9.770396e-02
-3.862748262400e+01, 7.327797e-02, 5.495848e-02
-3.852944332800e+01, 7.938446e-02, 6.106497e-03
-3.843140403200e+01, 8.549096e-02, -3.663898e-02
-3.833336473600e+01, 7.938446e-02, -8.549096e-02
-3.823532544000e+01, 7.938446e-02, -1.221299e-01
-3.813728614400e+01, 8.549096e-02, -1.709819e-01
-3.803924684800e+01, 7.327797e-02, -2.137274e-01
-3.794120755200e+01, 7.938446e-02, -2.503664e-01
-3.784316825600e+01, 7.938446e-02, -2.992184e-01
-3.774512896000e+01, 7.327797e-02, -3.358573e-01
-3.764708966400e+01, 6.106497e-02, -3.786028e-01
-3.754905036800e+01, 6.106497e-02, -4.274548e-01
-3.745101107200e+01, 6.106497e-02, -4.763068e-01
-3.735297177600e+01, 5.495848e-02, -5.129458e-01
-3.725493248000e+01, 4.274548e-02, -5.617977e-01
-3.715689318400e+01, 4.274548e-02, -5.984367e-01
-3.705885388800e+01, 4.274548e-02, -6.472887e-01
-3.696081459200e+01, 3.053249e-02, -6.961407e-01
-3.686277529600e+01, 3.053249e-02, -7.327797e-01
-3.676473600000e+01, 2.442599e-02, -7.755252e-01
-3.666669670400e+01, 2.442599e-02, -8.243771e-01
-3.656865740800e+01, 2.442599e-02, -8.610161e-01
-3.647061811200e+01, 1.221299e-02, -9.037616e-01
-3.637257881600e+01, 1.221299e-02, -9.404006e-01
