% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 55.70 s, time offset 27.85 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2022-09-09 T 13:15:06 -0400
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-4.630389350400e+01, -4.052990e-03, -1.535226e+00
-4.624928985600e+01, -3.847776e-03, -1.535812e+00
-4.619468620800e+01, -3.019588e-03, -1.535453e+00
-4.614008256000e+01, -2.323324e-03, -1.535446e+00
-4.608547891200e+01, -3.224803e-03, -1.535644e+00
-4.603087526400e+01, -3.107537e-03, -1.535724e+00
-4.597627161600e+01, -2.059476e-03, -1.535827e+00
-4.592166796800e+01, -2.462576e-03, -1.535688e+00
-4.586706432000e+01, -2.315995e-03, -1.534969e+00
-4.581246067200e+01, -1.773641e-03, -1.534801e+00
-4.575785702400e+01, -2.396615e-03, -1.534288e+00
-4.570325337600e+01, -3.041575e-03, -1.534632e+00
-4.564864972800e+01, -3.085550e-03, -1.534603e+00
-4.559404608000e+01, -2.924310e-03, -1.535849e+00
-4.553944243200e+01, -4.507394e-03, -1.535592e+00
-4.548483878400e+01, -4.133611e-03, -1.535321e+00
-4.543023513600e+01, -3.884421e-03, -1.535578e+00
-4.537563148800e+01, -3.657219e-03, -1.534874e+00
-4.532102784000e+01, -3.620574e-03, -1.534676e+00
-4.526642419200e+01, -4.038332e-03, -1.534991e+00
-4.521182054400e+01, -4.397458e-03, -1.535204e+00
-4.515721689600e+01, -3.759827e-03, -1.534471e+00
-4.510261324800e+01, -2.726424e-03, -1.535175e+00
-4.504800960000e+01, -3.774485e-03, -1.534412e+00
-4.499340595200e+01, -3.679207e-03, -1.534390e+00
-4.493880230400e+01, -4.192243e-03, -1.534170e+00
-4.488419865600e+01, -3.818459e-03, -1.534713e+00
-4.482959500800e+01, -3.943054e-03, -1.535087e+00
-4.477499136000e+01, -3.473992e-03, -1.534662e+00
-4.472038771200e+01, -4.045661e-03, -1.534676e+00
-4.466578406400e+01, -3.591257e-03, -1.535145e+00
-4.461118041600e+01, -3.972370e-03, -1.535160e+00
-4.455657676800e+01, -5.130368e-03, -1.534676e+00
-4.450197312000e+01, -4.104294e-03, -1.534500e+00
-4.444736947200e+01, -3.532625e-03, -1.535431e+00
-4.439276582400e+01, -3.913738e-03, -1.535519e+00
-4.433816217600e+01, -4.624660e-03, -1.535241e+00
-4.428355852800e+01, -4.228889e-03, -1.535754e+00
-4.422895488000e+01, -4.324167e-03, -1.535328e+00
-4.417435123200e+01, -4.338825e-03, -1.535350e+00
-4.411974758400e+01, -3.525295e-03, -1.535241e+00
-4.406514393600e+01, -2.689778e-03, -1.534508e+00
-4.401054028800e+01, -4.184914e-03, -1.534662e+00
-4.395593664000e+01, -5.086393e-03, -1.534999e+00
-4.390133299200e+01, -4.492736e-03, -1.534244e+00
-4.384672934400e+01, -3.627903e-03, -1.533394e+00
-4.379212569600e+01, -3.239461e-03, -1.533679e+00
-4.373752204800e+01, -4.082307e-03, -1.534537e+00
-4.368291840000e+01, -3.649890e-03, -1.534141e+00
-4.362831475200e+01, -3.144182e-03, -1.537571e+00
-4.357371110400e+01, -3.026917e-03, -1.557792e+00
-4.351910745600e+01, -2.308665e-03, -1.582645e+00
-4.346450380800e+01, -2.726424e-03, -1.606479e+00
-4.340990016000e+01, -1.128681e-03, -1.632945e+00
-4.335529651200e+01, -1.194643e-03, -1.656823e+00
-4.330069286400e+01, -2.110780e-03, -1.680056e+00
-4.324608921600e+01, -2.052147e-03, -1.703649e+00
-4.319148556800e+01, -2.836360e-03, -1.727270e+00
-4.313688192000e+01, -3.613245e-03, -1.749565e+00
-4.308227827200e+01, -3.679207e-03, -1.773810e+00
-4.302767462400e+01, -2.799715e-03, -1.800319e+00
-4.297307097600e+01, -2.821702e-03, -1.822827e+00
-4.291846732800e+01, -2.074134e-03, -1.846199e+00
-4.286386368000e+01, -6.816060e-04, -1.869330e+00
-4.280926003200e+01, -1.641718e-03, -1.892688e+00
-4.275465638400e+01, -2.132767e-03, -1.915723e+00
-4.270005273600e+01, -1.480478e-03, -1.938825e+00
-4.264544908800e+01, -2.000843e-03, -1.965041e+00
-4.259084544000e+01, -3.239461e-03, -1.989285e+00
-4.253624179200e+01, -2.682449e-03, -2.012035e+00
-4.248163814400e+01, -1.905565e-03, -2.034997e+00
-4.242703449600e+01, -2.169413e-03, -2.059975e+00
-4.237243084800e+01, -2.272020e-03, -2.082167e+00
-4.231782720000e+01, -1.868920e-03, -2.104623e+00
-4.226322355200e+01, -1.802958e-03, -2.129674e+00
-4.220861990400e+01, -2.469906e-03, -2.154557e+00
-4.215401625600e+01, -1.956869e-03, -2.178823e+00
-4.209941260800e+01, -1.641718e-03, -2.202650e+00
-4.204480896000e+01, -2.374627e-03, -2.225957e+00
-4.199020531200e+01, -1.524452e-03, -2.249505e+00
-4.193560166400e+01, -2.455247e-03, -2.272987e+00
-4.188099801600e+01, -1.817616e-03, -2.298500e+00
-4.182639436800e+01, -1.458490e-03, -2.321799e+00
-4.177179072000e+01, -2.381956e-03, -2.344204e+00
-4.171718707200e+01, -3.532625e-03, -2.367929e+00
